,0,1,2,3,4,5,6,7,8,9,10,11
13,12,HS:42012, Sr.Elizabeth Joel C S I E M H S S Attingal ,,Attingal(M),"Attingal *
",Attingal,Unaided Recognised,  1 - 12,04702620010 ,  ,Not Available
14,13,HS:42013, S C V B H S Chirayinkeezhu ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  5 - 10,04702640208 ,  ,Location map
15,14,HS:42014, S S V G H S S Chirayinkeezhu ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  5 - 12,9447557551 ,  ,Location map
16,15,HS:42015, P N M G H S S Koonthalloor ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  5 - 12,04702640216 ,  ,Location map
17,16,HS:42016, M R M K M M H S S Edava ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 - 12,04702660721 ,  ,Location map
18,17,HS:42017, L F E M H S S Edava ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Unaided Recognised,  1 - 12,04702660156 ,  ,Not Available
19,18,HS:42018, G H S S Kappil ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  5 - 12,04702661877 ,  ,Location map
20,19,HS:42019, S S P B H S S Kadakkavoor ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  5 - 12,04702656808 ,  ,Location map
21,20,HS:42020, G S N V H S S Kadakkavoor ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 12,04702658497 ,  ,Location map
22,21,HS:42021, Govt H S Avanavancheri ,,Attingal(M),"Attingal *
",Attingal,Government,  1 -10,04702632163 ,  ,Location map
23,22,HS:42022, St.Joseph's  H S S Anchuthengu ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  1 - 12,04702657900 ,  ,Location map
24,23,HS:42023, G H S S KAVALAYOOR ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 12,04702689078 ,  ,Location map
25,24,HS:42024, R R V B V H S S Kilimanoor ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  5 - 12,04702672485 ,  ,Location map
26,25,HS:42025, Govt. HSS Kilimanoor ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  5 - 12,04702673055 ,  ,Location map
27,26,HS:42026, Govt. Boys H.S.S. Mithirmala ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  5 - 12,04722820503 ,  ,Location map
28,27,HS:42027, Govt. Girls H.S.S. Mithirmala ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  5 - 12,04722820754 ,  ,Location map
29,28,HS:42028, Govt. H.S.S. Bharathannoor ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  5 - 12,04722869292 ,  ,Location map
30,29,HS:42029, S.K.V.H.S. Nanniyode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 - 12,04722840242 ,  ,Location map
31,30,HS:42030, Govt. H.S. Madatharakani ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 -10,04742443192 ,  ,Location map
32,31,HS:42031, B.R.M.H.S. Elavattom ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 - 10,04722840754 ,  ,Location map
33,32,HS:42032, N.S.S.H.S. Palode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 - 10,04722845015 ,  ,Location map
34,33,HS:42033, S K V H S Kadampattukonam ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 - 10,04702682376 ,  ,Location map
35,34,HS:42034, Govt. HSS Navaikulam ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  5 - 12,04702692092 ,  ,Location map
36,35,HS:42035, Govt V H S S Njekkad ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  5 - 12,04702692274 ,  ,Location map
37,36,HS:42036, L M S H S S Vattappara ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Aided,  5 - 12,04722585442 ,  ,Location map
38,37,HS:42037, Govt. V H S S For Boys Nedumangad ,,Nedumangad(M),"Attingal *
",Nedumangad,Government,  8 - 12,04722812328 ,  ,Location map
39,38,HS:42038, Manarulhuda E M H S Nedumangad ,,Nedumangad(M),"Attingal *
",Nedumangad,Unaided Recognised,  1 - 12,04722802398 ,  ,Not Available
40,39,HS:42039, Govt. H S S Poovathoor ,,Nedumangad(M),"Attingal *
",Nedumangad,Government,  5 - 12,04722801423 ,  ,Location map
41,40,HS:42040, Govt. H S Karippoor ,,Nedumangad(M),"Attingal *
",Nedumangad,Government,  1 -10,04722812143 ,  ,Location map
42,41,HS:42041, S N H S S Uzhamalakkal ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Aided,  5 - 12,04722898156 ,  ,Location map
43,42,HS:42042, Govt. H S S For Girls Nedumangad ,,Nedumangad(M),"Attingal *
",Nedumangad,Government,  5 - 12,04722802492 ,  ,Location map
44,43,HS:42043, Darsana H S S Nedumangad ,,Nedumangad(M),"Attingal *
",Nedumangad,Unaided Recognised,  1 - 12,04722812564 ,  ,Not Available
45,44,HS:42044, Govt. V & H S S Vellanad ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  5 - 12,04722882032 ,  ,Location map
46,45,HS:42045, Vikas Bhavan H S Mithraniketan ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Unaided Recognised,  1 -10,04722884066 ,  ,Not Available
47,46,HS:42046, S N V H S S Nedunganda ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  5 - 12,04702600762 ,  ,Location map
48,47,HS:42047, Govt.V & HSS Pakalkuri ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  5 - 12,04702682056 ,  ,Location map
49,48,HS:42048, NSSHS Madavoor ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 - 12,04702682096 ,  ,Location map
50,49,HS:42049, Govt. HSS Pallickal ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 12,04702682578 ,  ,Location map
51,50,HS:42050, V H S S Karavaram ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  8 - 12,04702692380 ,  ,Location map
52,51,HS:42051, Govt H S S Venjaramood ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  8 - 12,2872124 ,  ,Location map
53,52,HS:42052, G H S S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  5 - 12,04702653771 ,  ,Location map
54,53,HS:42053, Sivagiri H S S Varkala ,,Varkala(M),"Attingal *
",Varkala,Aided,  5 - 12,04702603010 ,  ,Location map
55,54,HS:42054, G H S S Palayamkunnu ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 12,04702667217 ,  ,Location map
56,55,HS:42055, Mulamana V.H.S.S. Anakudy ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  8 - 12,04722835105 ,  ,Location map
57,56,HS:42056, DBHS Vamanapuram ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  5 - 10,04702836138 ,  ,Location map
58,57,HS:42057, G M H S Nadayara ,,Varkala(M),"Attingal *
",Varkala,Government,  1 -10,04702600292 ,  ,Location map
59,58,HS:42058, G M H S S Varkala ,,Varkala(M),"Attingal *
",Varkala,Government,  5 - 12,04702602278 ,  ,Location map
60,59,HS:42059, Govt. V & H.S.S. Vithura ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  8 - 12,04722856202 ,  ,Location map
61,60,HS:42060, Govt. H.S. Anappara ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 -10,04722856509 ,  ,Location map
62,61,HS:42061, Govt. H.S.S. Tholicode ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  5 - 12,04722879595 ,  ,Location map
63,62,HS:42062, V.K.Kani Govt. H.S. Panacode ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 -10,04722879633 ,  ,Location map
64,63,HS:42063, G H S S Vettoor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 12,04702602023 ,  ,Location map
65,64,HS:42064, R R V   G H S S Kilimanoor ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  5 - 12,04702672185 ,  ,Location map
66,65,HS:42065, Govt. HSS Thattathumala ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 12,04702649646 ,  ,Location map
67,66,HS:42066, Govt. V & H S S Karakulam ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  8 - 12,04712371822 ,  ,Location map
68,67,HS:42067, Iqbal H.S.S. Peringammala ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  8 - 12,04722845543 ,  ,Location map
69,68,HS:42068, G H S Cherunniyoor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  8 - 12,04702601101 ,  ,Location map
70,69,HS:42069, Govt. HS Nagaroor Nedumparampu ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 12,04702678467 ,  ,Location map
71,70,HS:42070, Janatha H S S Thempammood ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 - 12,04722829119 ,  ,Location map
72,71,HS:42071, Govt. V.H.S.S. Kallara ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 12,04722860805 ,  ,Location map
73,72,HS:42072, Govt. H S S Azhoor ,Pothencode,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 12,04702635586 ,  ,Location map
74,73,HS:42073, SNVHSS Panayara ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 12,9496390022 ,  ,Location map
75,74,HS:42074, A K M HS Kudavoor ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  8 - 10,04702690753 ,  ,Location map
76,75,HS:42075, Govt. HS Koduvazhannoor ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 12,04702678045 ,  ,Location map
77,76,HS:42076, Govt. T.H.S. Idinjar ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 -10,04722845122 ,  ,Location map
78,77,HS:42077, S S M E M H S Mudapuram ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Unaided Recognised,  1 - 12,04702642663 ,  ,Not Available
79,78,HS:42078, Vidhyadhiraja E M H S S Attingal ,,Attingal(M),"Attingal *
",Attingal,Unaided Recognised,  8 - 10,04702624461 ,  ,Not Available
80,79,HS:42079, Crescent H S Nedumangad ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Unaided Recognised,  1 -10,04722802634 ,  ,Not Available
81,80,HS:42080, KTCT EM HSS Kaduvayil ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Unaided Recognised,  1 - 12,04702693860 ,  ,Not Available
82,81,HS:42081, Gem Know Model H S S Melvettor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Unaided Recognised,  1 - 12,04702600601 ,  ,Not Available
83,82,HS:42082, S H C H S Anchuthengu ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Varkala,Unaided Recognised,  1 -10,04702659271 ,  ,Not Available
84,83,HS:42083, S N E M H S Saradagiri Varkala ,,Varkala(M),"Attingal *
",Varkala,Unaided Recognised,  1 -10,9447666301 ,  ,Not Available
85,84,HS:42084, Govt. HS Ponganad ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 -10,04702651770 ,  ,Not Available
86,85,HS:42085, Govt. H S Ayilam ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 -10,04702639369 ,  ,Not Available
87,86,HS:42086, Govt. High School Jawahar Colony ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 -10,04722876825 ,  ,Not Available
88,87,HS:42087, Govt. H.S. Chettachal ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 -10,04722849536 ,  ,Not Available
89,88,HS:42088, Govt. H S Kudavoorkonam ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 -10,04702629040 ,  ,Not Available
90,89,HS:42099, LOVEDALE CBSE HSS  ATTINGAL ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Unaided Recognised,  1 - 12,04702621910 ,  ,Not Available
91,90,HS:42110," SREE AUROVINDO PUBLIC SCHOOL, KARAVARAM ",Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Unaided Recognised,  1 -10,04702691447 ,  ,Not Available
92,91,HS:42151,"  JAWAHAR NAVAODAYA VIDYALAYA, THIRUVANANTHAPURAM ",Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  6-12,04722859664 ,  ,Not Available
93,92,LP:42201, G B B L P S Anchuthengu ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 4,2657111 ,  ,Location map
94,93,LP:42202, G L P S Cherunniyoor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,9446514884 ,  ,Location map
95,94,LP:42203, G M L P S Palachira ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4, ,  ,Location map
96,95,LP:42204, G M P L P S Elakamon ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702665544 ,  ,Location map
97,96,LP:42205, G Central L P S Elakamon ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04742668099 ,  ,Location map
98,97,LP:42206, G L P S Hariharapuram ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,8547517426 ,  ,Location map
99,98,LP:42207, G L P S Chilakkoor Panayil ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702601400 ,  ,Location map
100,99,LP:42208, G L P S Kappil ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702661926 ,  ,Location map
101,100,LP:42209, G A M L P S Kayikkara ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,04702658700 ,  ,Location map
102,101,LP:42210, G L P B S Kurakkanni ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,9447342489 ,  ,Location map
103,102,LP:42211, G L P G S Kurakkanni ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702611952 ,  ,Location map
104,103,LP:42212, G L P S Muthana ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,9995891931 ,  ,Location map
105,104,LP:42214, G M L P S Odetty ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702664009 ,  ,Location map
106,105,LP:42215, G L P S Panayara ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702603026 ,  ,Location map
107,106,LP:42216, G W L P S Poika ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702662726 ,  ,Location map
108,107,LP:42217, G L P S Sreenivasapuram ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702610126 ,  ,Location map
109,108,LP:42218, K G G L P S Thannimoodu ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,9495433020 ,  ,Location map
110,109,LP:42219, G New L P S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,04702654566 ,  ,Location map
111,110,LP:42220, G L P B S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,9946749995 ,  ,Location map
112,111,LP:42221, G L P S Valayantakuzhy ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702611700 ,  ,Location map
113,112,LP:42222, G M V L P S Varkala ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,2613300 ,  ,Location map
114,113,LP:42223, G L P G S Varkala ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702611255 ,  ,Location map
115,114,LP:42224, G L P S Venkulam ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702660160 ,  ,Location map
116,115,LP:42225, G L P S Vilabhagom ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,0470206171 ,  ,Location map
117,116,LP:42226, G W L P S Kayalppuram ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04722665826 ,  ,Location map
118,117,LP:42227, M M M G L P S Nedunganda ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 4,04702606999 ,  ,Location map
119,118,LP:42228, G M L P S Chilakkoor ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702602600 ,  ,Location map
120,119,LP:42229, S H C L P S Anchuthengu ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  1 - 4,04702656726 ,  ,Location map
121,120,LP:42230, S N V L P S Chemmaruthy ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,04702693736 ,  ,Location map
122,121,LP:42231, S R V L P S Kadakkavoor ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  1 - 4,8848874329 ,  ,Location map
123,122,LP:42232, G L P S Karunnilacode  ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702051500 ,  ,Location map
124,123,LP:42233, St.Alloysius L P S Mampally ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  1 - 4,04702657251 ,  ,Location map
125,124,LP:42234, L M S L P S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  1 - 4,04702650809 ,  ,Location map
126,125,LP:42235, L P S Vencode ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9495752552 ,  ,Location map
127,126,LP:42236, Mt.Carmel L P S Vennicode ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9846355044 ,  ,Location map
128,127,LP:42237, M L P S Vettoor Elappil ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9496195960 ,  ,Location map
129,128,LP:42238, L M L P S Karippuram ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,0470266088 ,  ,Location map
130,129,LP:42239, A M L P S Kovoor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9895889136 ,  ,Location map
131,130,LP:42240, M V L P S Manthara ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9495045224 ,  ,Location map
132,131,LP:42241, L M S L P S Varkala ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9446846457 ,  ,Location map
133,132,LP:42242, G L P G S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 5,04702656333 ,  ,Location map
134,133,UP:42243, G U P S Ayiroor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 7,04702665526 ,  ,Location map
135,134,UP:42244, G M U P S Edava ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 7,04702660515 ,  ,Location map
136,135,UP:42245, G U P S Nilakkamukku ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 7,04702653838 ,  ,Location map
137,136,UP:42246, H H T M U P S Palachira ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  1 - 7,9446283945 ,  ,Location map
138,137,UP:42247, Prabodhini U P S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  1 - 7,04702560805 ,  ,Location map
139,138,UP:42248, L V U P S Venkulam ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 7,04702661919 ,  ,Location map
140,139,UP:42249, A M U P S Ayiror ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 -7,04702665144 ,  ,Location map
141,140,UP:42250, U P S Elakamon ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 -7,2665040 ,  ,Location map
142,141,UP:42251, St.Sebastian`s U P S Mudiacode ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  5 -7,04702611446 ,  ,Location map
143,142,UP:42252, St.Thomas U P S Ayiroor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 -7,04702665170 ,  ,Location map
144,143,UP:42253, R K M U P S Muthana ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 -7,04702696422 ,  ,Location map
145,144,UP:42254, H V U P S KURAKKANI ,,Varkala(M),"Attingal *
",Varkala,Aided,  5 -7,7012024542 ,  ,Location map
146,145,UP:42255, A M T T I Vilabhagam ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 -7,04702608490 ,  ,Location map
147,146,LP:42256," Jyothis Trinity School,Kovur,Varkala ",Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Unaided Recognised,  1 - 4,9495301384 ,  ,Not Available
148,147,UP:42270," Light to the blind, varkala ",,Varkala(M),"Attingal *
",Varkala,Aided,  1 - 7,04702602367 ,  ,Location map
149,148,HS:42271, Sivagiri Sree Narayana Senior Secondary School Varkala ,,Varkala(M),"Attingal *
",Varkala,Unaided Recognised,  1 - 12,04702604271 ,  ,Not Available
150,149,HS:42273, MAHATMA GANDHI MEMORIAL MODEL SCHOOL Varkala ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Unaided Recognised,  1 - 12,04702602193 ,  ,Not Available
151,150,HS:42283, Shanthiniketan School Kunnumpuram ,Nemom,Thiruvananthapuram(P),"Attingal *
",Kattakkada,Unaided Recognised,  1 - 12,04712270299 ,  ,Not Available
152,151,LP:42301, L M S L P S Attingal ,,Attingal(M),"Attingal *
",Attingal,Aided,  1 - 4,04702624526 ,  ,Location map
153,152,LP:42302, Govt. L P S Keezhattingal ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 4,04702620503 ,  ,Location map
154,153,LP:42303, Govt. L P S Andoor ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 4,627026 ,  ,Location map
155,154,LP:42304, Govt. L P S Attingal ,,Attingal(M),"Attingal *
",Attingal,Government,  1 - 5,04702623726 ,  ,Location map
156,155,LP:42305, Govt. L P S Melattingal ,,Attingal(M),"Attingal *
",Attingal,Government,  1 - 5,8281624869 ,  ,Location map
157,156,LP:42306, Govt. L P S Melkadakkavur ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 5,04702620293 ,  ,Location map
158,157,LP:42307, Govt.L P S Elampa ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 4,2639555 ,  ,Location map
159,158,LP:42308, Govt. L P S Alamcode ,,Attingal(M),"Attingal *
",Attingal,Government,  1 - 4,9745453776 ,  ,Location map
160,159,LP:42309, Govt. L P S Madathuvathukkal ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,2821561 ,  ,Location map
161,160,LP:42310, P T M L P S Kumpalathumpara ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  1 - 4,9946152978 ,  ,Location map
162,161,LP:42311, Govt. L P S Njekkad ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,04702694171 ,  ,Location map
163,162,LP:42312, Govt. L P S Mullaramcode ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,04702691515 ,  ,Location map
164,163,LP:42313, Govt. L P S Ottoor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,04702688245 ,  ,Location map
165,164,LP:42314, R M L P S Mananakku ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  1 - 4,9447075091 ,  ,Location map
166,165,LP:42315, A M L P S Perumkulam ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  1 - 4,04702687469 ,  ,Location map
167,166,LP:42316, Govt. L P S Kulamuttom ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,9539022342 ,  ,Location map
168,167,LP:42317, St.Sebastian's L P S Moongode ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,04702640234 ,  ,Location map
