school name,email,contact no
"Fazlani L’academie Globale, Mazgaon, Mumbai",info@flag.org.in, +91 2223732730
"Fazlani L’academie Globale, Mazgaon, Mumbai",info@flag.org.in, +91 2223732730
"BD Somani International School, Cuffe Parade, Mumbai",secondary@bdsomaniinternationalschool.com, +91 022 22161366
"Utpal Shanghvi Global School, Mumbai",rakhimukherjeeuss@gmail.com, +91 22 2620 4298
"Ryan Global School, Andheri, Mumbai",ryanglobal@in.com, +91 022-26320205
"Rustomjee Cambridge International School, Mumbai",tanya@school.rustomjee.com, 022 2894 2363
"Scottish High International School, Gurgaon",info@scottishigh.com, +91 9953849226
"NES International School, Mumbai",contact@nesism.in, +91 (22) 6641 5555
"Aditya Birla World Academy, Mumbai",admissions@adityabirlaworldacademy.com, +91-22-2352 8400
"Pathways school, Gurgaon",school.gurgaon@pathways.in, 9.11E+11
"Mercedes-Benz International School, Pune",info@mbis.org,
"Pathways School, Noida",school.noida@pathways.in, +91 120 4617000
"Dhirubhai Ambani International School, Mumbai",admissions@da-is.org, 91 22 35637061
"Ecole Mondiale World School, Mumbai",enquiry@ecolemondiale.org, +91 26237196
International School of Hyderabad,ish@ishyd.org, +91 40 30713865
"The Riverside School, Ahmedabad",inquiry@schoolriverside.com, 079 22861321
"Oberoi International School, Mumbai",education@oberoi-is.org, + 91 22 4236 3131
"Candor International School, Bangalore",enquire@candorschool.com, +91 9483299999
Trivandrum International School,tis@trins.org, +91 99470 66646
"Indus International School, Hyderabad",admissions@indusschoolhyd.com, 8417302100
"International School, Aamby, Pune",admissions@isaamby.com, +91 9922626852
"Lancers International School, Gurgaon",admission@lis.ac.in, +91 9999989757
"DRS International School, Hyderabad",info@drsinternational.com, +91 9246178555
"Aga Khan Academy, Hyderabad",admissions.hyderabad@agakhanacademies.org, +91 66291262
"Vidsan Charterhouse, Faridabad",registrations@vidyasanskar.com, +91 9999265555
Bangalore International School,info@bisedu.co.in, +91 95914 68876
"Saint MSG Glorious International School, Sirsa",info@saintmsginternationalschool.com, +91 (1666) 238626
"Singapore International School, Mumbai",admin@sisindia.net, +91 02228285200
"Fravashi International Academy, Nasik",enquiry@fia.edu.in, +91 9673999007
"Stonehill International School, Bangalore",admissions@stonehill.in, +91 8043418300
"Canadian International School, Bangalore",enroll@cisb.org.in, +91 806759 4444
"Stonehill International School, Bangalore",admissions@stonehill.in, +91 8043418300
"UWC Mahindra College, Pune",info@muwci.net, +91 9764442751
"The Cathedral Vidya School, Lonavala",enquiry@cathedral-lonavala.org, +91 9923756950
"The International School, Bangalore",school@tisb.ac.in, 91 80 22634900
"Good Shepherd International School, Ooty",info@gsis.ac.in, +91 423 2550371
"Hebron School, Ooty",principal@hebronooty.org, +91 4232442372
"Indus International School, Pune",admissions@indusschoolpune.com, +91 8390905894
"Indus International School, Bangalore",admissions@indusschool.com, 9886268567
"Pathways World School, Gurgaon",school.gurgaon@pathways.in, 0124 487 2000
Kodaikanal International School,contact@kis.in, 454 2247218
"Woodstock School, Mussoorie, Uttarakhand",communications@woodstock.ac.in, +91 135 2639000
"Greenwood High International, Bangalore",admissions.intl@greenwoodhigh.edu.in, +91 8022010500
"Kimberley The International School, Panchkula",info@kimberley.co.in, +91 8685000222
"MAEER’s MIT Pune’s Vishwashanti Gurukul, Solapur",admissions@mitgurukul.com, 020 39210000
"Ryan International School, Bardoli, Surat",ris.bardoli@ryangroup.org, 2622262639
"Nahar International School, Mumbai",info@nahar-is.org, 2228475511
"Indus World School, Gurgaon",admissions.gurgaon@indusworldschool.com, 9716974808
"Bodhi International School, Jodhpur",principal@bodhijodhpur.com, +91 8290752002
"Sankalp, Chennai",admin.sankalp@gmail.com, +919940493015
"Dare Academy, Munnar",dare.munnar@tatatea.co.in, 4865231453
"Aatman Academy, Thane",info@aatmanacademy.org, +91 98696 87073
Test,a@a.com, 28845454
"Sparsh Special School, New Delhi",info@thesparsh.org, 1127044337
"NES High School, Bhandup, Mumbai",enquiry@nessvb.org, 2225951381
"Mata Bhagwanti Chadha Niketan (MBCN), Noida",info@mbcnschool.in, 9711000843
"Muskaan, New Delhi",info@muskaanthengo.org, 1141761873
"Asha Hai, New Delhi",info@ashahai.com, 011 41035300
"Wisdom High International School, CAIE & Jr College, Nasik",wisdomhigh_international@rediffmail.com, 91 253 2338795
"Nirmala High School, Hyderabad",, 4065572082
"New Digamber Public School, Indore",ndps@ndps.edu.in, 7314219200
"Hill Top School, Jamshedpur",hilltopschool@rediffmail.com, 6572286677
"Vikaasa School, Madurai",info@vikaasa.edu.in, 4526462255
"Narbheram Hansraj English School, Jamshedpur",principal@nhes.ac.in, 6572249796
"Delhi Public School, Abohar",info@dps.edu.in, 8568044444
"Carmel High School, Bengaluru",carmelit1968@gmail.com, 918023227015
"City Montessori Inter College, Rajajipuram",rajajipuram1@cmseducation.org, 5222414737
"South City International School, Kolkata",info@scis.co.in, 9.10E+12
"Carmel Junior College, Sonari, Jamshedpur",cjuniorcollege@gmail.com, 9.17E+11
"The Ardee World School, Bardez (Goa)",contactusgoa@theardeeworldschool.com, 91 85528 44566
"The Ardee World School, Gurgaon",contactusgurgaon@theardeeworldschool.com, 18001027333
"Julien Day School, Ganganagar, Kolkata",jds_gan@yahoo.com, 3365010851
"Euro School, Airoli, Navi Mumbai",airoli@euroschoolindia.com, 9.19E+11
"DG Khetan Inernational School, Malad, Mumbai",khetaninternational@rediffmail.com, 2228785360
"Gokuldham High School & Jr College, Goregaon",gokuldhamschool@gaet.edu.in, 7.19E+11
"Navy Children School, Dabolim",office@ncsgoa.com, 8322582742
"Pawar Public School, Bhandup, Mumbai",feedback@ppsbhandup.com, 2221663030
"Lilavatibai Podar High School, Santacruz, Mumbai",fernandesnorina.icse@podar.org, 67111111
"Tridha, Andheri (E), Mumbai",tridha@hotmail.com,
"Auxilium Convent School, Bandel, Kolkata",, 3326312460
"Loreto Convent Intermediate College, Lucknow",contact@lucknowloreto.com, 5222237222
"Don Bosco High School, Dombivali (W), Thane",dbhskalyan@gmail.com, 2512202027
Angels Babyland Matriculation Hr. Sec. School,, 9.14E+11
"The Aryan School, Dehradun",aryan@thearyanschool.com, 919837623510
"De Paul International Residential School, Mysore",aneeshdpirs@gmail.com, 91 8212972401
"Father LeBlond School, Siliguri",enquiry@leblond.in, 9.18E+11
"Montfort Anglo Indian Higher Secondary School, Yercaud",principal@montfortyercaud.com, 914281222428
"BGIS, Vrindavan",info@bgis.org, 5652540206
"Auckland House School, Shimla",auck65@gmail.com, 1772807060
"Grace Matriculation School, Chennai",graceschool82@gmail.com, 914425500224
"Genius Public School, New Delhi",, 0
"Edubridge International School, Mumbai",info@edubridgeschool.org, 9619128181
"CP Goenka International School, Juhu, Mumbai",info@cpgoenkajuhu.com, 912261286900
"Hindustan International School, Chennai",info@hindustanschools.in, 914422342020
"Velammal Global School, Chennai",vgsm.info@velammalglobal.edu.in, 4427479030
"Grace Model High School, Hyderabad",, 9346494517
"Nandini Public School, Bengaluru",, 8023495363
"Milton Nursery & Primary School, Chennai",, 4424723138
"New Blossoms Education Society, Bangalore",, 8028371264
"Pioneer Public School, New Delhi",,
"Pragathi Vidyalaya, Hyderabad",, 9.14E+11
"St. Moses Matriculation School, Chennai",St.Mosesmetric@gmail.com, 4426710054
"Sunrise Public School, Bangalore",, 8028365839
International School Aamby,admissions@isaamby.com, 2039102500
ABSS School,abss@gmail.com, 9874563210
Walsingham House School,admin@walsinghamschool.org, 2223625191
Happy Model School,happymodeljp@yahoo.com, 1125505865
"Shanti Asiatic School, Jaipur",info@jaipur.shantiasiatic.com, 1415158888
RIDGE SCHOOL,principal@ridgeschools.org, 7799660088
"Mercy Memorial School, Kanpur",, 5122611781
"St Mary’s High School, Mira Road, Thane",smhsmira@gmail.com, 2228455080
"St. Xaviers School, Dhamtari",, 7722235280
"St. Xavier’s High School, Durg",sxhsicsedurg@gmail.com, 7886450577
"Universal High School, Dahisar East, Mumbai",info.dahisar@universal.edu.in, 2228977293
Swaraj India Public School,, 5122500309
PG Garodia School,school@pggarodia.org, 2225063157
"Ryan International School, Nerul, Mumbai",ryannerul10@gmail.com, 2227719687
"Cambridge School, Kandivali (East), Mumbai",cambridgeschkandivli@gmail.com, 2228541864
Escorts World School,info@escortsworldschool.com, 5122077799
Jawahar Vidya Mandir,jvmshyamali@yahoo.com, 6512411221
"Vibgyor High School, Hadapsar, Pune",helpdesk.vh10207@vibgyorhigh.com, 2069000500
"Ashoka Universal School, Nashik",principal@ausindia.org, 9922992293
"The Universal School, Ghatkopar (East), Mumbai",info.ghatkopar@universal.edu.in, 2266900000
"Presidency School, Nandini Layout",principal.nlo@gmail.com, 8023493291
Alpha Cambridge International School,info.igcse@alphaeducation.edu.in, 4312457308
J H Tarapore School,jhts@sify.com, 6572220420
DBMS English School,, 6572305367
Niraj Public School,info@nirajpublicschool.com, 4023413543
Alpine,alpine@apline.com, 13111313131
"Podar International School, Navi Mumbai",admin.nerul@podar.org, 2227727742
"Somerville School, Noida",ssn@somervillenoida.in, 1202415050
Enrolment Desk,, 8099552233
"Future Kids, Hyderabad",futurekids@fkshyderabad.com, 4032519742
"Zydus School for Excellence, Vejalpur",zydusschool@hotmail.com, 7926826799
Victorious Kidss Educares,reachonline@victoriouskidsseducares.org, 9595853322
"Contai Public School, Purba, Medinipur",cps953@gmail.com, 3220258953
Bidya Bharati Girls’ High School,info@bidyabharatighs.in, 3323960429
Victorious Kidss Educares,reachonline@victoriouskidsseducares.org, 9595853322
"MA Ideal High School, Kishan Bagh, Hyderabad",info@maidealschool.com, 4024460314
Angels Baby Land Matriculation School,, 4425923037
"St. Theresa Convent School, Mumbai",tereznboyz@gmail.com, 2226402273
"Ashwini Public School, Bangalore",, 8028377122
The Gateway School of Mumbai,info@gatewayschoolmumbai.org, 2225563613
Little Flower Matriculation Hr. Sec. School,, 4424781527
Dilkhush Special School,info@dilkhush.org, 2226151304
"Jai Vakeel School, Mumbai",jvstrsy@gmail.com, 2224701231
KulachiHansraj Manovikas Kendra,khmsav3@gmail.com, 1127143364
Bethany Special School,info@bethanyinstitutions.edu.in, 8025634902
Alpha to Omega,atolcsrikrishna@gmail.com, 4426443090
The Aditya Birla Integrated School,info@tabis.in, +91 22 2206 1451
Tamana Autism Centre – School of Hope,schoolofhope@tamana.org, 1126143843
SPJ Sadhana School,spjsadhana@gmail.com, 2223517913
Asha Kiran Special Needs School,ashakirantrust@gmail.com, 8025315597
AmarJyoti Research & Rehabilitation Centre,amarjoti@del2.vsnl.net.in, 1122375205
Academy for Severe Handicaps and Autism,info@ashaforautism.com, 8023225279
"Gowtham Model School, Ameerpet",ameerpet@gowtham.org, 4064637040
"Gowtham Model School, AS Rao Nagar",info@gowthammodelschools.com, 4066382516
"Gowtham Model School, Hyder Shah Kote",info@gowthammodelschools.com, 4064573123
"Gowtham Model School, Secunderabad",info@gowthammodelschools.com, 4066332144
Rustomjee International School & Junior College,, +912228942363
Global Wings International School,globalwingsschool@gmail.com, 4023734015
"Genius Grammar School, Kothapet",, 4065161199
Ramadevi Public School,, 4032946671
Boston Mission High School,bostonschool1986hyd@yahoo.com, 9246362299
Arca Education Society,, 9989124092
Blue Moon High School,bluemoonhighschool@yahoo.com, 9492425990
"APM School, Hyderabad",apmschoolhyd@gmail.com, 4064537405
Bless Educational Society,, 8125332998
Aakruthi High School,aakruthischool@gmail.com, 8885522025
SaS Billabong High School,sas@mahim.billabong.org, 2224466547
JB Vacha High School For Girls,jbvachha@hotmail.com, 2224129595
ABM Public Senior Secondary School,infoabmschool@gmail.com, 1292202500
Boys’ Secondary School,abss@gmail.com, 321224658
Apostolic Carmel High School & Junior College,info@apostoliccarmelbandra.com, 2226428028
Chinmaya Vidyalaya,director@chinmayavidyalayanauni.com, 9816003773
Chinmaya Vidyalaya,director@chinmayavidyalayanauni.com, 9816003773
Modern AP Convent School,, 9810355040
"Dr. Pillai Global Academy, Gorai",dpga@mes.ac.in, 2228684464
Aakash International School,aakashschool01@gmail.com, 9466469433
Rockford Convent High School,rockfordconvent@yahoo.co.in, 1246453227
"The Banyan Tree World School, Gurgaon",info.btws@gmail.com, 1246675755
Bal Bari Public School,bbps_k@rediffmail.com, 1232244723
"SDA Senior Secondary School, Ghaziabad",sdaup030@yahoo.com, 1222305740
"Mount Carmel School, Ghaziabad",mountcarmelschoolmuradnagar@gmail.com, 1232226445
"Fatima Convent School, Ghaziabad",, 1202871847
"Vibgyor High School, Hennur",helpdesk.vh15301@vibgyorhigh.com, 8022723001
"Vibgyor High, Borivali West",helpdesk.vh10112@vibgyorhigh.com, 2265650593
Velammal Global School,velammalglobalschool@gmail.com, 4427479030
"Konark Public School, Ghaziabad",contact@kpssahibabad.com, 1202892579
"Modern Academy, Ghaziabad",admin@modernacademyindirapuram.org, 1202606998
Alliance World School,allianceworldschool2014@gmail.com, 1202589073
"Nutan Vidhya Vihar, Vadodara",, 2652394376
"St. Joseph’s Convent School, Raigad",sjclodhivali@gmail.com, 2192255654
CPS Global School,info@cpsglobalschool.com, 9940651077
Manipal School,mangalore@manipalk12education.com, 8244252307
"St. Thomas High School, Mumbai",sthsdahisar@gmail.com, 2228961089
"Florence Public School, Bengaluru",principalfps@yahoo.co.in, 8023333938
"St Joseph’s High School & Jr College, Kalamboli",josephkalamboli@yahoo.co.in, 2227422973
"South Point School, Kolkata",spes@southpoint.org.in, 3324406208
"St Xavier’s High School, Mira Road, Thane",, 2228127061
Jankidevi Public School,info@jankidevipublicschool-m.com, 2226334756
The New Cambridge English School,info@cambridgeschool.com, 8023301578
Carmel High School,info@carmeledu.com, 8023227015
"St Vincent Pallotti School, Bengaluru",svp.school43@yahoo.com, 8025603768
"St Theresa’s School, Mangalore",stsbm@yahoo.co.in, 8242214278
"The Scholar School, Mumbai",thescholarhighschool@yahoo.co.in, 2222047987
"Greenlawns School, Warden Road",, 2223671408
"Frank Anthony Public School, New Delhi",, 1126435996
"City International School, Andheri",contact@cityinternationalschool.edu.in, 2226390692
"Billabong High International School, Bhopal",principal@bhopal.billabonghigh.org, 7552696799
"City Montessori School, Aliganj Campus I",aliganj1@cmseducation.org, 5222326882
"Ann Mary School, Dehradun",annmary@sancharnet.in, 1352762923
"St Lawrence High School (SLHS), Kandivali East",stlawrencekandivli@gmail.com, 2228543094
"Wisdom High International School, Nashik",wisdomhigh_international@rediffmail.com, 2532338795
"Activity High School, Mumbai",info@activityhighschool.com, 2223517909
Hutchings High School,, 2026352764
"St Thomas School, Ranchi",principal@stthomasschoolranchi.com, 6512408649
VMJ Higher Secondary School,office@vmjschool.org, 4522311748
Vidya Valley School,info@vidyavalley.com, 2065339984
"Littler Flower Convent School, Panchkula",, 1722574527
"Pawar Public School, Pune",info@ppspune.com, 9272212290
"Beacon High, Mumbai",beaconhigh580@gmail.com, 2226007716
"St. Patrick’s Academy, Ernakulam",spabeacon@gmail.com, 4842690878
"Goldcrest High, Vashi, Navi Mumbai",response.vashi@goldcresthigh.com, 2227892261
"Holy Angels School, Ghaziabad",principal@holyangelssbd.org, 1202631845
"Seth Anandram Jaipuria School, Kanpur",sajsknp@rediffmail.com; kanpurjaipuria@gmail.com, 0512-2380146 / 0512-2381619
"St. Agnes Loreto Day School, Lucknow",contact@stagnesloretolko.com, 5223292272
Sudhir,, 9711188700
"Billabong High International School, Vadodara",info.baroda@billabonghigh.com, 2652630800
The Lucknow Public Collegiate,lpc_jprd@hotmail.com, 5222207745
Sri Sri Academy,info@ssa.org.in, 3324569090
Pine Mount School,principalpinemountschool@gmail.com, 3642223039
"Our Lady Queen of Missions School, Kolkata",, 3322908196
"St. Patrick’s Junior College, Agra",contact@stpatricksjrcollege.org, 5622520107
"Mosaica International School, Hyderabad",dsmith2@mosaicaeducation.com, 4049101699
"Mar Thoma Residential School, Tiruvalla",, 4692701298
"Baldwin Girls’ School, Bengaluru",contact@baldwingirls.org, 22211743
"Mainadevi Bajaj International School, Mumbai",admissions@mbis.org.in, 2266812312
"Billabong High International School, JVPD, Mumbai",info@billabongjuhu.com, 2261286900
"Dr. Graham’s Homes, Kalimpong",chiefexecdgh@sify.com, 3552274632
"BAPS Swaminarayan Vidyamandir, Vadodara, Gujarat",swamivmatladara@yahoo.co.in, 2652680162
Maa Anandmayee Memorial School,mamsraiwala@gmail.com, 1352190403
Dehra Dun Hills Academy,mailddha@gmail.com, 2687009
"St. Lawrence High School, Kolkata",stlawrence1937@gmail.com, 3324751959
Barnes School & Junior College,administrator@barnesschool.in, 2532497194
"Seventh Day Adventist School, Navsari",sdanavsari@gmail.com, 2637283445
"Anand Niketan, Thaltej, Ahmedabad",anthaltej@anandniketan.org, 7926850051
SN Kansagra School,uma.anavaratham@tges.org, 2812588391
Metas MCD School of Seventh Day Adventists,jeremiahms@rediffmail.com, 2612667591
"GVHS School for Girls, Nadakavvu, Kozhikode",gvhss13@gmail.com, 4952369933
"Jadavpur Vidyapith, Kolkata",jvnp2010@gmail.com, 3324146130
"Rajkiya Pratibha Vikas Vidyalaya, Shalimar Bagh",rpvv1309124@gmail.com, 1127483136
"Timpany School, Vishakapatnam",timpanyschools@gmail.com, 8912755887
Hill Range High School,principal@hillrange.org, 2168250021
"St. Joseph’s Girls’ High School, Vishakapatnam",st.joseph.school.india@gmail.com, 8912558279
St. John’s Parish School,stjohnsparishschool@hotmail.com, 82762561334
St. Aloysius High School,staloysius045@gmail.com, 8912562837
Jnanasarovara International Residential School,info@jirsm.com, 8212479814
"Siva Sivani Public School, Secunderabad",contact@sivasivanipublicschools.org, 8418248343
"Sherwood Public School, Secunderabad",, 4064512584
"Carmel Public School, Raipur",, 7721237459
"MSB Educational Institute, Raipur",fatemaraipur@gmail.com, 7712233986
"Prakash Vidyalaya, Dantewada",principalpvbacheli@rediffmail.com, 7857255166
"Nirmal Niketan School, Dantewada",nnskarli@gmail.com, 7856202353
Guru Nanak Fifth Centenary School,info@gnfcssociety.com, 1352632690
"Sacred Heart High School, Raipur",sacredheartsbb@yahoo.co.in, 7727222190
"Calorx Public School, Jaipur",cpsJaipur@calorx.org, 9649854220
"St. Ann’s High School, Secunderabad",annssc@yahoo.co.in, 4027801854
"Don Bosco Academy, Digha Ghat",, 6122560212
Sri Sathya Sai Gurukulam,srisathyasaigurukulam@yahoo.com, 8832430989
"Don Bosco School, Khonsa",dbskhonsa@gmail.com, 3786223160
"Chavara Higher Secondary School, Kondagoan",school.chavara@gmail.com, 7786242461
Rajkumar College,info@rajkumarcollege.com, 7714701051
"Carmel School, Bhagalpur",, 6412400323
Salem English School,salemenglishschool@sesraipur.com, 7712234249
"St. Xavier’s High School, Raipur",sxhsicseraipur@gmail.com, 7712442582
"Beacon English School, Chhattisgarh",, 7759221939
"Deepti Convent School, Bastar",, 7782229475
"Carmel Convent Senior Secondary, Raigarh",carmelraigarh@gmail.com, 7762232210
Mount Assisi School,enquiry@mountassisi.co.in, 64124511043
Vijayavani Residential School,vijayavaniresidentialschool@yahoo.in, 8581256237
"Loyola Public School, Guntur",, 8632290268
"North Point Children’s School, Muzaffarpur",, 6212270275
"St. Joseph’s Convent High School, Bankipore",cjpatna@rediffmail.com, 6122560267
Paramjyoti Public School,ppschool1985@gmail.com, 8856230155
"St. Martin’s High School, Ferozguda",contact@stmartinshighschool.com, 4023774208
"Don Bosco School, Nalbari",donboscoschoolsashipur@yahoo.com, 3624284390
Sanskriti The Gurukul,sanskritithegurukul@hotmail.com, 91 361 227 0060
"Carmel School, Jorhat",carmel_jorhat@sancharnet.in, 3762360355
"Vasishta School, Madanapalle",vasishtaicse@gmail.com, 8571230227
"St. Francis High School, Machilipatnam",, 8672250742
Simhapuri Public School,simhapuripublicschoolicse@gmail.com, 9391088905
"St. Ann’s Convent School, Srikakulam",, 8946255345
"SDA Higher Secondary School, Nuzvid",sdaschool_nuzvid@yahoo.com, 8656232302
Flaiz Memorial Higher Secondary School of SDA,flaizcollege@yahoo.com, 8814273905
Ongole Public School,contact@ongolepublicschool.com, 8592233284
"St. Lawrence High School, Mumbai",lawrenceborivli@gmail.com, 2228955060
Gitanjali Primary School,admin@gitanjalischools.com, 4027768420
"Varin International School, Tumkur",pr@virstumkur.in, 8162246400
"Universal School, Tardeo, Mumbai",ust@universal.edu.in, 2239354444
"St. Xavier’s High School, Goregaon East",, 2228401539
"Sat Paul Mittal School, Ludhiana",spmschool2004@satpaulmittalschool.org, +91 1612522477
"Vibgyor High, Magarpatta City",helpdesk.vh10207@vibgyorhigh.com, 8655563951
Best international schools in gurgaon,admissions@dpsiedge.edu.in, 8377000164
"Sri Lakshmi High School, NR Pet",, 8518220825
"Sri Lakshmi High School, Kurnool",, 8518250204
"Hansraj Morarji Public School, Mumbai",school@hansrajeducation.org, 2226707991
"Sheiling House School, Kanpur",info@shskanpur.org, 5122255041
"St. Mary’s Convent School High School, Mumbai",, 2225680920
"Vicon School, Raipur",pr@viconschool.com, 9630002100
"St. Paul’s English School, Bangalore",spes.jpn83@yahoo.com, 8026582710
"St. Joseph Public School, Pattanakad",ppublicschool@gmail.com, 4782594439
"Sacred Heart High School, Prabhadevi",, 2224932651
Chavara International School,chavaraamanakara@gmail.com, 4822260426
"Holy Family School, Chembur (West), Mumbai",hfhs1972@yahoo.com, 25257294
"NASR Boys, Hyderabad",nasrschoolboys@rediffmail.com, 4055691518
Madras Christian College Higher Secondary School,mcchshm@yahoo.co.in, 4428365205
"Innisfree House School, Bangalore",innisfree@hotmail.com, 8026597110
"Adamas International School, Kolkata",adamas@riceindia.org, 9830444749
"East West School, Bangalore",eastwestschool@yahoo.com, 8023321270
"Dr. Virendra Swarup Education Centre, Kidwai Nagar",contact@vsec.in, 5122641352
"The Chintels School, Kanpur",chintels@rediffmail.com, 5122280714
"Thakur International School, Kandivali (W)",tis@thakureducation.org, 2228020000
"Ida Scudder School, Vellore",idascudder@gmail.com, 4162242404
"Garden High School, Kolkata",info@gardenhighschool.org, 3324413805
"Sacred Heart Boys High School, Santacruz (W), Mumbai",, 2226481912
Christ Nagar Higher Secondary School,cnhsstvm@gmail.com, 4712318485
"Hari Sri Vidya Nidhi School, Thrissur",harisrividyanidhischool@yahoo.com, 4872380258
"Chaman Vatika School, Ambala",info@chamanvatikaschool.in, 911712541249
"Sahyadri School, Pune",sahyadrischool@gmail.com, 2135306100
"New Horizon Public School, Bangalore",admissions@newhorizonindia.edu, 8025261735
"St Thomas School, Kanpur",info@stthomasknp.com, 5122602348
"City Montessori School, Rajendra Nagar, Lucknow",rajendranagar1@cmseducation.org, 5222692830
"St. Mary’s Convent Inter College, Lucknow",contact@smccjlko.org, 5222450530
"Julien Day School, Kalyani",kalyani@juliendayschool.com, 3325829621
"The Future Foundation School, Kolkata",, +91 3324712612
"Presidency School, RT Nagar, Bangalore",presidencyrtnagar@yahoo.co.in, 8023337689
"Modern English Academy, Barrackpore",principal@meacademy.org.in, 3325452102
"Little Flower School, Gorakhpur",info@lfsgorakhpur.in, 5512504941
"Kuriakose Elias School, Kottayam",kescom@rediffmail.com, 4812597180
"Sachdevaa Public School, Rohini",info@spsrohini.com, 1127566176
"Bombay Scottish School, Powai",powai@bombayscottish.in, 2228573205
"Dr. Sarvepalli Radhakrishnan Vidyalaya,",dsrv_m@bcgschools.org, 2228747058
St. Francis D’Assisi High School & Junior College,office@sfdassisi.com, +91 2228930670
"St. Francis Xavier Girls High School, Bangalore",, 8025368222
