school name,email,contact no
"St. Joseph’s Convent School, Raigad",sjclodhivali@gmail.com, 2192255654
"Florence Public School, Bengaluru",principalfps@yahoo.co.in, 8023333938
The New Cambridge English School,info@cambridgeschool.com, 8023301578
Carmel High School,info@carmeledu.com, 8023227015
"St Vincent Pallotti School, Bengaluru",svp.school43@yahoo.com, 8025603768
"St Theresa’s School, Mangalore",stsbm@yahoo.co.in, 8242214278
"The Scholar School, Mumbai",thescholarhighschool@yahoo.co.in, 2222047987
"Greenlawns School, Warden Road",, 2223671408
"City International School, Andheri",contact@cityinternationalschool.edu.in, 2226390692
"Billabong High International School, Bhopal",principal@bhopal.billabonghigh.org, 7552696799
"Ann Mary School, Dehradun",annmary@sancharnet.in, 1352762923
"Activity High School, Mumbai",info@activityhighschool.com, 2223517909
Hutchings High School,, 2026352764
"St Thomas School, Ranchi",principal@stthomasschoolranchi.com, 6512408649
VMJ Higher Secondary School,office@vmjschool.org, 4522311748
Vidya Valley School,info@vidyavalley.com, 2065339984
"Littler Flower Convent School, Panchkula",, 1722574527
"Pawar Public School, Pune",info@ppspune.com, 9272212290
"Beacon High, Mumbai",beaconhigh580@gmail.com, 2226007716
"St. Patrick’s Academy, Ernakulam",spabeacon@gmail.com, 4842690878
"Goldcrest High, Vashi, Navi Mumbai",response.vashi@goldcresthigh.com, 2227892261
"Holy Angels School, Ghaziabad",principal@holyangelssbd.org, 1202631845
"Seth Anandram Jaipuria School, Kanpur",sajsknp@rediffmail.com; kanpurjaipuria@gmail.com, 0512-2380146 / 0512-2381619
"St. Agnes Loreto Day School, Lucknow",contact@stagnesloretolko.com, 5223292272
"Our Lady Queen of Missions School, Kolkata",, 3322908196
"Dr. Graham’s Homes, Kalimpong",chiefexecdgh@sify.com, 3552274632
Barnes School & Junior College,administrator@barnesschool.in, 2532497194
"Seventh Day Adventist School, Navsari",sdanavsari@gmail.com, 2637283445
"Timpany School, Vishakapatnam",timpanyschools@gmail.com, 8912755887
St. Aloysius High School,staloysius045@gmail.com, 8912562837
"Sherwood Public School, Secunderabad",, 4064512584
"Prakash Vidyalaya, Dantewada",principalpvbacheli@rediffmail.com, 7857255166
"Nirmal Niketan School, Dantewada",nnskarli@gmail.com, 7856202353
"Don Bosco Academy, Digha Ghat",, 6122560212
"Chavara Higher Secondary School, Kondagoan",school.chavara@gmail.com, 7786242461
Rajkumar College,info@rajkumarcollege.com, 7714701051
"Carmel School, Bhagalpur",, 6412400323
Salem English School,salemenglishschool@sesraipur.com, 7712234249
"St. Xavier’s High School, Raipur",sxhsicseraipur@gmail.com, 7712442582
"Beacon English School, Chhattisgarh",, 7759221939
"Deepti Convent School, Bastar",, 7782229475
"Carmel Convent Senior Secondary, Raigarh",carmelraigarh@gmail.com, 7762232210
Mount Assisi School,enquiry@mountassisi.co.in, 64124511043
Vijayavani Residential School,vijayavaniresidentialschool@yahoo.in, 8581256237
"Loyola Public School, Guntur",, 8632290268
"North Point Children’s School, Muzaffarpur",, 6212270275
"St. Joseph’s Convent High School, Bankipore",cjpatna@rediffmail.com, 6122560267
Paramjyoti Public School,ppschool1985@gmail.com, 8856230155
"St. Martin’s High School, Ferozguda",contact@stmartinshighschool.com, 4023774208
"Don Bosco School, Nalbari",donboscoschoolsashipur@yahoo.com, 3624284390
"Carmel School, Jorhat",carmel_jorhat@sancharnet.in, 3762360355
"Vasishta School, Madanapalle",vasishtaicse@gmail.com, 8571230227
"St. Francis High School, Machilipatnam",, 8672250742
"St. Ann’s Convent School, Srikakulam",, 8946255345
"Sheiling House School, Kanpur",info@shskanpur.org, 5122255041
"St. Paul’s English School, Bangalore",spes.jpn83@yahoo.com, 8026582710
"NASR Boys, Hyderabad",nasrschoolboys@rediffmail.com, 4055691518
"Adamas International School, Kolkata",adamas@riceindia.org, 9830444749
Christ Nagar Higher Secondary School,cnhsstvm@gmail.com, 4712318485
"New Horizon Public School, Bangalore",admissions@newhorizonindia.edu, 8025261735
"St. Mary’s Convent Inter College, Lucknow",contact@smccjlko.org, 5222450530
"The Future Foundation School, Kolkata",, +91 3324712612
"Presidency School, RT Nagar, Bangalore",presidencyrtnagar@yahoo.co.in, 8023337689
"Modern English Academy, Barrackpore",principal@meacademy.org.in, 3325452102
"Little Flower School, Gorakhpur",info@lfsgorakhpur.in, 5512504941
"Kuriakose Elias School, Kottayam",kescom@rediffmail.com, 4812597180
"Bombay Scottish School, Powai",powai@bombayscottish.in, 2228573205
St. Francis D’Assisi High School & Junior College,office@sfdassisi.com, +91 2228930670
"St. Francis Xavier Girls High School, Bangalore",, 8025368222
"Little flower School, Jamshedpur",littleflower_10@sify.com, 6572280652
"Queen Mary School, Mumbai",queenmaryschool@gmail.com, 2223875700
"MC Kejriwal Vidyapeeth, Howrah",info@mckv.edu.in, 3326543326
"Summer Valley School, Dehradun",summervalleyschool@gmail.com, 1352673383
Jasudben ML School,jml@bom5.vsnl.net.in, 2226496162
"Abhyasa International Residential School, Toopran",abhyasaschool@yahoo.com, 8454235718
"Don Bosco School, Siliguri",frjosesdb@hotmail.com, 3532542947
Vivekananda Mission School,vivtech@giascl01.vsnl.net.in, 3324671010
"Lodha World School, Thane",contact_thane@lodhaworldschool.com, 2225440066
"Ashok Hall Girls Residential School, Ranikhet",p.arghs@ashokhall.net, 5966240438
Lakshmi School,lakshmischool@tvslvs.com, +91 4522429142
Amar Jyoti Saraswati International School,enquiries@theasis.org, 2782566711
"Don Bosco High & Technical School, Liluah, Howrah",assistantprincipal@donboscoliluah.org, 3326553553
"St. Joseph’s Convent, Patna",sjc@sify.com, 6122560267
"St. Peter’s School, Mumbai",stpeters@vsnl.com, 2223782888
The Shriram Millennium School,info.noida@tsms.edu.in, +91 9999176666
"Shishuvan School, Matunga",info@shishuvan.com, +91 2224044063
"Bethany High School, Bangalore",school@bethanyhigh.net, 8025532189
"Ryan International School, Kharghar",ris_kharghar@yahoo.com, 2265161799
"Sophia High School, Bangalore",enquiries@sophiahighschool.com, 8022266825
"St. Germain High School, Bangalore",, 8025511353
Johnson Grammar School,jgschoolicse@yahoo.com, +91 4027150555
The Frank Anthony Public School,fapscompclub@gmail.com, 8025570970
"The Assembly of God Church School, Kolkata",mail@agschool.in, 3322292723
"Auxilium Convent, Bandel",, 3326312460
"Billabong High International School, Thane",info@billabongthane.com, 2243407100
St. Gregorios High School,stghchembur@gmail.com, 2225203790
"Arya Vidya Mandir, Bandra West",avm@avmschools.ac.in, 2266923600
Brightlands School,brightlandsschool@gmail.com, 911352656157
"Salt Lake School, Kolkata",saltlakeschool@yahoo.com, 3323371477
"Shree Swaminarayan Gurukul, Bangalore",bangalore@gurukulworld.org, 8028437261
"Loreto Convent High School, Lucknow",lucknowloretocollege@yahoo.com, 5222237222
"St. Stephens School, Chandigarh",stephenschd@sify.com, 1722664547
M P Birla Foundation Higher Secondary School,mpbfhsc@vsnl.net, 9103324070000
Nalanda International School,info@nalandaschool.org, 912656533855
CNM School,cnmschool@gmail.com, 2242333000
Pawar Public School,feedback@ppsbhandup.com, 2221663030
Seth M. R. Jaipuria School,principal@jaipuria.com, 5222301301
J.B. Petit High School for Girls,contact.jbpetit@gmail.com, 2222042617
Villa Theresa High School,info@vtsmumbai.org, 912223879817
"VIBGYOR High, Kadugodi",helpdesk.bengaluru47@vibgyorhigh.com, 8033743300
"The Blue Mountains School, Ooty",contact@bluemountainsschool.org, 423244837
"Wynberg Allen School, Mussoorie",principal@wynbergallen.com, 1352630568
"VIBGYOR High, Haralur Road",helpdesk.bengaluru41@vibgyorhigh.com, 8040968427
Eklavya School,eklavya@eklavya.org, +91 7926461629
Loreto House,info@loretoschool.com, 3322293564
Glendale Academy,info@glendaleacademy.net, +91 4064611937
"The Sanskaar Valley School, Bhopal",principal@sanskaarvalley.org, 7553255346
"Coorg Public School, Kodagu",cops@bsnl.in, 8274247011
"St. Thomas Residential School, Thiruvananthapuram",strs@stthomastvm.edu.in, 7312719000
"Shigally Hill International Academy, Dehradun",shigally@gmail.com, 1352108048
"Shikshantar School, Gurugram",office@shikshantarschool.com, +91 1244889100
"St. James School, Entally, Kolkata",jacobean@cal3.vsnl.net.in, 913322441545
"Sherwood College, Nainital",admin@sherwood.edu.in, 5942239710
