school name,email,contact no
"Muskaan, New Delhi",info@muskaanthengo.org,1141761873
"Asha Hai, New Delhi",info@ashahai.com, 011 41035300
"Wisdom High International School, CAIE & Jr College, Nasik",wisdomhigh_international@rediffmail.com, 91 253 2338795
"Narbheram Hansraj English School, Jamshedpur",principal@nhes.ac.in,6572249796
"South City International School, Kolkata",info@scis.co.in,9.10E+12
"Carmel Junior College, Sonari, Jamshedpur",cjuniorcollege@gmail.com,9.17E+11
"The Ardee World School, Bardez (Goa)",contactusgoa@theardeeworldschool.com, 91 85528 44566
"Euro School, Airoli, Navi Mumbai",airoli@euroschoolindia.com,9.19E+11
"Gokuldham High School & Jr College, Goregaon",gokuldhamschool@gaet.edu.in,7.19E+11
"Lilavatibai Podar High School, Santacruz, Mumbai",fernandesnorina.icse@podar.org,67111111
"Loreto Convent Intermediate College, Lucknow",contact@lucknowloreto.com,5222237222
"Don Bosco High School, Dombivali (W), Thane",dbhskalyan@gmail.com,2512202027
"Father LeBlond School, Siliguri",enquiry@leblond.in,9.18E+11
"Auckland House School, Shimla",auck65@gmail.com,1772807060
"Grace Matriculation School, Chennai",graceschool82@gmail.com,9.14426E+11
"Genius Public School, New Delhi",,0
"Edubridge International School, Mumbai",info@edubridgeschool.org,9619128181
"CP Goenka International School, Juhu, Mumbai",info@cpgoenkajuhu.com,9.12261E+11
"Hindustan International School, Chennai",info@hindustanschools.in,9.14422E+11
"Velammal Global School, Chennai",vgsm.info@velammalglobal.edu.in,4427479030
"Grace Model High School, Hyderabad",,9346494517
"Nandini Public School, Bengaluru",,8023495363
"Milton Nursery & Primary School, Chennai",,4424723138
"New Blossoms Education Society, Bangalore",,8028371264
"Pioneer Public School, New Delhi",,
"Pragathi Vidyalaya, Hyderabad",,9.14E+11
"St. Moses Matriculation School, Chennai",St.Mosesmetric@gmail.com,4426710054
"Sunrise Public School, Bangalore",,8028365839
International School Aamby,admissions@isaamby.com,2039102500
Walsingham House School,admin@walsinghamschool.org,2223625191
Happy Model School,happymodeljp@yahoo.com,1125505865
"Shanti Asiatic School, Jaipur",info@jaipur.shantiasiatic.com,1415158888
"Mercy Memorial School, Kanpur",,5122611781
"Cambridge School, Kandivali (East), Mumbai",cambridgeschkandivli@gmail.com,2228541864
Escorts World School,info@escortsworldschool.com,5122077799
"Ashoka Universal School, Nashik",principal@ausindia.org,9922992293
"Presidency School, Nandini Layout",principal.nlo@gmail.com,8023493291
Niraj Public School,info@nirajpublicschool.com,4023413543
"Somerville School, Noida",ssn@somervillenoida.in,1202415050
"Zydus School for Excellence, Vejalpur",zydusschool@hotmail.com,7926826799
"Contai Public School, Purba, Medinipur",cps953@gmail.com,3220258953
Bidya Bharati Girls’ High School,info@bidyabharatighs.in,3323960429
Victorious Kidss Educares,reachonline@victoriouskidsseducares.org,9595853322
"MA Ideal High School, Kishan Bagh, Hyderabad",info@maidealschool.com,4024460314
Angels Baby Land Matriculation School,,4425923037
"St. Theresa Convent School, Mumbai",tereznboyz@gmail.com,2226402273
"Ashwini Public School, Bangalore",,8028377122
The Gateway School of Mumbai,info@gatewayschoolmumbai.org,2225563613
Little Flower Matriculation Hr. Sec. School,,4424781527
Dilkhush Special School,info@dilkhush.org,2226151304
"Jai Vakeel School, Mumbai",jvstrsy@gmail.com,2224701231
Bethany Special School,info@bethanyinstitutions.edu.in,8025634902
Alpha to Omega,atolcsrikrishna@gmail.com,4426443090
The Aditya Birla Integrated School,info@tabis.in, +91 22 2206 1451
Tamana Autism Centre – School of Hope,schoolofhope@tamana.org,1126143843
SPJ Sadhana School,spjsadhana@gmail.com,2223517913
Asha Kiran Special Needs School,ashakirantrust@gmail.com,8025315597
AmarJyoti Research & Rehabilitation Centre,amarjoti@del2.vsnl.net.in,1122375205
Academy for Severe Handicaps and Autism,info@ashaforautism.com,8023225279
"Gowtham Model School, Ameerpet",ameerpet@gowtham.org,4064637040
"Gowtham Model School, AS Rao Nagar",info@gowthammodelschools.com,4066382516
"Gowtham Model School, Hyder Shah Kote",info@gowthammodelschools.com,4064573123
"Gowtham Model School, Secunderabad",info@gowthammodelschools.com,4066332144
Global Wings International School,globalwingsschool@gmail.com,4023734015
Ramadevi Public School,,4032946671
Arca Education Society,,9989124092
Bless Educational Society,,8125332998
SaS Billabong High School,sas@mahim.billabong.org,2224466547
JB Vacha High School For Girls,jbvachha@hotmail.com,2224129595
ABM Public Senior Secondary School,infoabmschool@gmail.com,1292202500
Boys’ Secondary School,abss@gmail.com,321224658
Apostolic Carmel High School & Junior College,info@apostoliccarmelbandra.com,2226428028
Chinmaya Vidyalaya,director@chinmayavidyalayanauni.com,9816003773
Chinmaya Vidyalaya,director@chinmayavidyalayanauni.com,9816003773
Modern AP Convent School,,9810355040
"Dr. Pillai Global Academy, Gorai",dpga@mes.ac.in,2228684464
"The Banyan Tree World School, Gurgaon",info.btws@gmail.com,1246675755
"Vibgyor High, Borivali West",helpdesk.vh10112@vibgyorhigh.com,2265650593
"Modern Academy, Ghaziabad",admin@modernacademyindirapuram.org,1202606998
Alliance World School,allianceworldschool2014@gmail.com,1202589073
"St. Joseph’s Convent School, Raigad",sjclodhivali@gmail.com,2192255654
Manipal School,mangalore@manipalk12education.com,8244252307
"Florence Public School, Bengaluru",principalfps@yahoo.co.in,8023333938
"St Joseph’s High School & Jr College, Kalamboli",josephkalamboli@yahoo.co.in,2227422973
"South Point School, Kolkata",spes@southpoint.org.in,3324406208
"Ann Mary School, Dehradun",annmary@sancharnet.in,1352762923
"St Lawrence High School (SLHS), Kandivali East",stlawrencekandivli@gmail.com,2228543094
"St. Agnes Loreto Day School, Lucknow",contact@stagnesloretolko.com,5223292272
"St. Patrick’s Junior College, Agra",contact@stpatricksjrcollege.org,5622520107
"Baldwin Girls’ School, Bengaluru",contact@baldwingirls.org,22211743
"Mainadevi Bajaj International School, Mumbai",admissions@mbis.org.in,2266812312
"Dr. Graham’s Homes, Kalimpong",chiefexecdgh@sify.com,3552274632
"BAPS Swaminarayan Vidyamandir, Vadodara, Gujarat",swamivmatladara@yahoo.co.in,2652680162
Maa Anandmayee Memorial School,mamsraiwala@gmail.com,1352190403
Dehra Dun Hills Academy,mailddha@gmail.com,2687009
"Seventh Day Adventist School, Navsari",sdanavsari@gmail.com,2637283445
Metas MCD School of Seventh Day Adventists,jeremiahms@rediffmail.com,2612667591
"GVHS School for Girls, Nadakavvu, Kozhikode",gvhss13@gmail.com,4952369933
"Jadavpur Vidyapith, Kolkata",jvnp2010@gmail.com,3324146130
"Timpany School, Vishakapatnam",timpanyschools@gmail.com,8912755887
Hill Range High School,principal@hillrange.org,2168250021
"Sacred Heart High School, Raipur",sacredheartsbb@yahoo.co.in,7727222190
Ongole Public School,contact@ongolepublicschool.com,8592233284
"Varin International School, Tumkur",pr@virstumkur.in,8162246400
"Universal School, Tardeo, Mumbai",ust@universal.edu.in,2239354444
"Vibgyor High, Magarpatta City",helpdesk.vh10207@vibgyorhigh.com,8655563951
Best international schools in gurgaon,admissions@dpsiedge.edu.in,8377000164
"Sri Lakshmi High School, NR Pet",,8518220825
"Sri Lakshmi High School, Kurnool",,8518250204
"Sheiling House School, Kanpur",info@shskanpur.org,5122255041
"St. Mary’s Convent School High School, Mumbai",,2225680920
"St. Joseph Public School, Pattanakad",ppublicschool@gmail.com,4782594439
Chavara International School,chavaraamanakara@gmail.com,4822260426
"NASR Boys, Hyderabad",nasrschoolboys@rediffmail.com,4055691518
"Adamas International School, Kolkata",adamas@riceindia.org,9830444749
"The Chintels School, Kanpur",chintels@rediffmail.com,5122280714
"Ida Scudder School, Vellore",idascudder@gmail.com,4162242404
"Garden High School, Kolkata",info@gardenhighschool.org,3324413805
"Hari Sri Vidya Nidhi School, Thrissur",harisrividyanidhischool@yahoo.com,4872380258
"Kuriakose Elias School, Kottayam",kescom@rediffmail.com,4812597180
"Bombay Scottish School, Powai",powai@bombayscottish.in,2228573205
"Little flower School, Jamshedpur",littleflower_10@sify.com,6572280652
Clarence High School,clarence@bgl.vsnl.net.in,8025470868
Chrysalis High – Whitefield Kadugodi Road,info.kadugodi@chrysalishigh.com,9535233040
Chrysalis High – Yelahanka Newtown,info.yelahanka@chrysalishigh.com,7259381402
Jasudben ML School,jml@bom5.vsnl.net.in,2226496162
"Don Bosco High & Technical School, Liluah, Howrah",assistantprincipal@donboscoliluah.org,3326553553
"Shishuvan School, Matunga",info@shishuvan.com, +91 2224044063
"St. Paul’s School, Agartala",,3812230232
"St Augustine’s High School, Navi Mumbai",,2227702770
"Sacred Heart Girls High School, Bangalore",shghs_blr@yahoo.in,8022211237
"St. Germain High School, Bangalore",,8025511353
Johnson Grammar School,jgschoolicse@yahoo.com, +91 4027150555
The Frank Anthony Public School,fapscompclub@gmail.com,8025570970
The Ashram,ashramtassc05@yahoo.in,4422355329
Rosary Convent High School,rosaryconventschool@yahoo.co.in,23241387
"Auxilium Convent, Bandel",,3326312460
"SBOA Public School, Navi Mumbai",,2227716879
"Billabong High International School, Thane",info@billabongthane.com,2243407100
St. Gregorios High School,stghchembur@gmail.com,2225203790
Calcutta Girls High School,principal@cghschool.org,3322151540
"New Era School, Breach Candy, Mumbai",newera_school@rediffmail.com,2223806623
Avalon Heights International School,info@avalonheights.org,2265159977
"Convent of Jesus and Mary, Dehradun",contact@cjmdehradun.in,1352651390
Brightlands School,brightlandsschool@gmail.com,9.11353E+11
"Sacred Heart Matriculation High School, Churchpark",principal@sacredheartchurchpark.com,4428352118
"Arya Vidya Mandir, Juhu, Mumbai",,2266993700
"Our lady of Perpetual Succor High School (OLPS), Chembur, Mumbai",,2225212396
Our Lady of Good Counsel High School,principal@olgchighschool.com,2224076273
N. L. Dalmia High School,info.school@nldalmia.co.in,242990000
"Shree Swaminarayan Gurukul, Bangalore",bangalore@gurukulworld.org,8028437261
"Loreto Convent High School, Lucknow",lucknowloretocollege@yahoo.com,5222237222
Atul Vidyalaya,atul_vidya@yahoo.com,2632233317
"All Saints High School, Hyderabad",ashs@allsaintshyd.edu.in,4023235153
"St. Stanislaus High School, Mumbai",principal@stanislausbandra.in, 91 22 26430386
"St. Stephens School, Chandigarh",stephenschd@sify.com,1722664547
"La Martiniere College, Lucknow",college@lamartinierelucknow.org,5222235415
"International School of Scholars, Nagpur",principal@isosindia.org,8087191795
Vimaltai Tidke Convent,vtc@vtconvent.com,7122239259
Nalanda International School,info@nalandaschool.org,9.12657E+11
Christ Church School,ccs.principal@gmail.com,2223099892
"Hiranandani Foundation School, Powai",hifopowai@hiranandanischools.edu.in, +91 2225704884
"St. Joseph’s Boys High School, Bangalore",info@sjbhsbangalore.in,8022214416
"Loreto Convent School, Shillong",loretomeg@yahoo.com,3642225559
Vidyaranya High School,vidyaranya.hs@gmail.com, +91 4023235146
J.B. Petit High School for Girls,contact.jbpetit@gmail.com,2222042617
Pailan World School,frontoffice@pailanworldschool.com,3324978556
"St. Mary’s School, Pune",,2026356282
"Loyola School, Jamshedpur",info@loyola.edu.in,6572231795
"The Shri Ram School, Aravali",senior.aravali@tsrs.org,1244784300
Strawberry Fields World School,sfws26@gmail.com,1722795903
Father Agnel Multipurpose School,agnelsnm@yahoo.com,2241612000
"VIBGYOR High, Kadugodi",helpdesk.bengaluru47@vibgyorhigh.com,8033743300
City Montessori School,gomtinagar1@cmseducation.org,5222394740
"VIBGYOR High, Haralur Road",helpdesk.bengaluru41@vibgyorhigh.com,8040968427
"Himali Boarding School, Kurseong",info@himalischool.org,3542332376
Vibgyor High Group of Schools,careers@vibgyorhigh.com,2239577070
"Delhi Public School, Ahmedabad",dpsbopal@calorx.org,2717230521
Loreto House,info@loretoschool.com,3322293564
Modern School,,1126144388
Oasis International School,info@oasisintschool.org,8041253104
India First Foundation School,info@iffschool.in,2241842929
Glendale Academy,info@glendaleacademy.net, +91 4064611937
"VIBGYOR High, Marathahalli",helpdesk.bengaluru40@vibgyorhigh.com,8042777000
Vissanji Academy,info@vissanjiacademy.com,2266992003
Abacus Montessori School,abacusmontessorischool@gmail.com, +91 44 24960904
"The Sanskaar Valley School, Bhopal",principal@sanskaarvalley.org,7553255346
SBOA School and Junior College,sboajc@gmail.com,4426151145
"Bishop Cottons Girls School, Bangalore",bcgs@bishopcottongirls.com,8022210268
"Shigally Hill International Academy, Dehradun",shigally@gmail.com,1352108048
"RiverDale International Residential School, Pune",admission@rispune.com,2032940442
"St. James School, Entally, Kolkata",jacobean@cal3.vsnl.net.in,9.13322E+11
"GD Somani Memorial School, Mumbai",info@gdsomani.org,9.12222E+11
"Vidyashilp Academy, Jakkur, Bangalore",school.info@vidyashilp.com, +91 9739801824
"Inventure Academy, Sarjapur Road, Bengaluru",admissions@inventureacademy.com, +91 8027822102
"GD Goenka World School, Sohna Road, Gurugram",admissions@gdgoenka.com,1243315900
"St. Joseph’s School, North Point, Darjeeling",santymp@yahoo.com,3542259153
Mussoorie International School,misadmissions@gmail.com,1352632763
"Modern School, Barakhamba Road",principal@modernschool.net,1123311618
Bharatiya Vidya Bhavan’s Rajaji Vidyashram,brvinfo@bvbchennai.org,4426442823
"Sloka School, Hyderabad",info@slokawaldorf.org,84132355050
"Springdales Public School, Pusa Road",sdales@nde.vsnl.net.in,1125728428
"The Shri Ram School, Vasant Vihar, Delhi",junior.school@tsrs.org, +91 1126140884
