school name,email,contact no
"AKSIPS 65 Smart School, Mohali",aksips65@gmail.com, +91 172 2234733
"Ramagya School, Noida",admissions@ramagyaschool.com, +91 8010333555
"Billabong High International School, Noida",principal@billabonghighschoolnoida.com, +91 1204220695
"Oakridge International School, Bachupally, Hyderabad",admissions@oakridge.in, +91 9133337711
"Billabong High International School, Kanpur Cantonment",promoters@kangarookidskanpur.com, 5122320090
"Billabong High International School, Santacruz (W), Mumbai",contact@billabonghigh.com, +91 22 6658 3000
"Sadhbhavana World School, Kozhikode",admissions@sadhbhavanaschool.org, +91 9446646464
"Oakridge International School, Newton Campus",admissions@oakridge.in, +919133337711/22
"Manchester International School, Coimbatore",mail@manchesters.in, +91 9244555557
"Dawn International School, Kochi","dawninternationalschool@gmail.com,", +91 9447577770
"CHIREC International School, Hyderabad",office.gb@chirecps.ac.in, +91 7032900570
"Prudence International School, Panvel, Raigada Dist",info@prudence.edu.in, +91 9167567650
"Oakridge International School, Vishakhapatnam",admissions@oakridge.in, +91 8933201111
"Lalaji Memorial Omega International School, Chennai",info@omegaschools.org, +91 4466241130
"KiiT International School, Bhubaneswar",kiitis@kiitis.ac.in, +91 674 2725805
"SCAD World School, Coimbatore",admission@scadworldschool.com, +91 8012551468
"Genesis Global School, Noida",principal@genesisgs.com, +91 9711000498
"MPS International, Jaipur",info@mpsinternational.in, +91 141 2621544
"SAI International School, Bhubaneswar",info@saiinternationalschool.com, 91 6747100200
"Jain Heritage A Cambridge School, Hyderabad",jgihyderabad@gmail.com, 91 40 4475 5252
Bubbles Centre for Autism,admin@biswagouri.org, +91 6362 935 562
"Oak Grove School, Mussoorie",principalogs@yahoo.in, 91 1352630200
"St. John’s School, Faridabad",, 1292242097
"GVN-The Global School, Bhopal",principal.gvntheglobalschool@gmail.com, 7552580041
TATA DAV Public School,davwbd@gmail.com, 6545262213
New Delhi Public School,ndpsonline@yahoo.co.in, 1125516601
"St. Michael’s Senior Secondary School, Delhi",info@stmichaelprd.in, 1125712106
"Mary Mount Public School, Ettumanoor",principalmmount@gmail.com, 4812536233
Nirmala Public School Muvattupuzha,nirmalapbs@gmail.com, 4852836489
"Rukmani Birla Modern High School, Jaipur",rbmhsjaipur@rediffmail.com, 1412762647
"Sreyas Public School, Ponkunnam",sreyasschool@hotmail.com, 4828225625
"NH Goel World School, Raipur",enquiries@nhgoel.com, 7714244000
"Sacred Heart Public School, Kottayam",principal@shps-kili.org, 4812447634
"Army Public School, MHOW",armyschoolmhow@hotmail.com, 7324272747
"DAV Public School, CCL, Kathara, Bokaro",principal@davkathara.com, 6549235346
"Kannadi Vappa International School, Ramanathapuram",info@rmindseducation.com, 8098108922
"Vimalagiri Public School, Kothamangalam, Kochi",vimalagiri@rediffmail.com, 4852822138
"St. Kuriakose Public School, Kottayam",skpsosb@skps.ac.in, 9496541679
"SFS Public School, Kottayam",info@sfspublicschool.com, 4812534982
"Navnidh Hassomal Lakhani Public School, Bhopal",nhlpsshn@gmail.com, 7552640111
"Global Indian International School, Ahmedabad",admissions.ahmedabad@globalindianschool.org, 9737077723
"Viswajyothi CMI Public School, Kochi",principal@viswajyothi.org, 4842453544
"Saint Soldier International School, Chandigarh",ssis_ssis28@yahoo.com, 1725024737
"Army Public School, Kapurthala",apskapurthala@gmail.com, 1822221558
"Stepping Stones Sr. Sec. School, Chandigarh",stepps_chd@yahoo.co.in, 1722636751
"The Swaminarayan School, Nagpur",bapsnagpur@yahoo.co.in, 7122790811
"Bala Vidya Mandir Sr Sec School, Chennai",infobvmadyar@gmail.com, 4424424445
"Lakshya International School, Kakinada",info@lakshyaschool.in, 9.19E+11
"Holy Cross School, Ghatotand, Hazaribagh",holycrosstata@yahoo.co.in, 9431141860
"Army Public School, Jalandhar",apsjalandharcantt@gmail.com, 1812630776
"Vivek High School, Mohali",vivekhigh70@yahoo.com, 1724621747
"Army Public School, Ranikhet",, 5.97E+11
"Ryan International School, Mohali",ris.mohali@ryangroup.org, 1722240206
"Army Public School, Bhopal",bhopal.aps@gmail.com, 7552970386
"Army Public School, Gurdaspur",armyschool_tibri@yahoo.com, 9988833832
"Ajanta Public School, Gurgaon",info@ajantapublicschool.org, 1242381823
"Prerna Public School, Nagpur",ppsurvn@gmail.com, 7122746840
"BGS International Public School, Dwarka, New Delhi",bgsips2003@yahoo.com, 1125086373
"Sant Nandlal Smriti Vidya Mandir, Ghatsila",snsvmschool@gmail.com, 6585225534
"Army Public School, Danapur Cantt, Patna",apsdanapur@gmail.com, 6115221840
"Army Public School, ASC Centre, Bengaluru",principalapsasc@gmail.com, 8025550677
"Cambridge International School, Jalandhar",Info@cambridgejalandhar.in, 18001702708
"Ryan International School, Mayur Vihar, Delhi",ris.mayurvihar@ryangroup.org, 1122612036
"Army Public School, Ratnuchak",contact@apsratnuchak.com, 1912484553
NMM Higher Secondary School,principal@nationalmodel.in, 4222575318
KB DAV Sr Sec Public School,kbdav7@gmail.com, 1722791496
"Ryan International School, Patiala",ris.patiala@ryangroup.org, 1756540788
"Army Public School, Akhnoor, Jammu",, 1924213044
"Amrita Vidyalayam, New Delhi",amrita.vidyalayam@gmail.com, 1129561744
"Army Public School, Gorakhpur",armypublicschoolkgt@gmail.com, 5512273830
"Gregorian Public School, Kochi",gregorianschool@gmail.com, 9388883310
"GD Goenka Public School, Jammu",info@gdgoenkajammu.org, 1912642991
"Delhi Public School, Gautam Budh Nagar, Noida",, 1207122031
"Carmel School, Palakkad",carmelcmischool@yahoo.co.in, 4662220002
"NSM Public School, Vijayawada",nsmschoolvja@gmail.com, 8662476519
Veeramachaneni Paddayya Siddhartha Public School,vpsps@yahoo.in, 8662471678
"DAV Public school, Koyla Nagar, Dhanbad",davkoylanagar@gmail.com, 3262230715
"Good Shepherd Public School, Kottayam",principal@goodshepherdjc.com, 4812473093
"Nehru World School, Ghaziabad",contact@nehruworldschool.com, 1202758565
"D.L D.A.V MODEL SCHOOL, Shalimar Bagh, New Delhi",info@dldavsb.org, 1127477634
"Vidhyashram International School, Jodhpur",info@vidhyashram.edu.in, 2912227976
"The Study School, Pondicherry",thestudyschool@gmail.com, 4132655355
"Ryan International School, Jabalpur",ryanites08@gmail.com, 7614030230
"Somerville School, Greater Noida",somervillegn@gmail.com, 7042492964
"Guru Nanak Public School, Rajouri Garden, Delhi",gnps_rg64@rediffmail.com, 1145140591
"Delhi Public School, Sagar",info@dpssagar.edu.in, 7582298012
"Army Public School, Tezpur, Assam",apstezpur@gmail.com, 3712259109
"Zydus School of Excellence, Ahmedabad",principal@zydusschool-godhavi.org, 8141015151
"Little World School, Jabalpur",lws.jbp@gmail.com, 7612673623
"Blue Bells Public School, Gurgaon",info@bluebells.org, 1242370606
"DAV Public School, Pune",ashimkrdubey@rediffmail.com, 2025893694
"Chinmaya Vidyalaya, Tripunithura, Kochi",chinmayavidyalayam@rediffmail.com, 4842777684
"Suguna PIP School, Coimbatore",info@sugunapips.in, 4222901210
"Army Public School, Chandimandir Cantt, Panchkula",principalapschm@yahoo.co.in, 911722589605
"Maharishi Vidya Mandir, Hyderabad",mvmhyderabad@mahaemail.com, 4023113196
"Doon Public School, Panchkula",doon_pkl@yahoo.co.in, 1722570897
"Learning Paths School, Mohali",admin@learningpaths.in, 91 172 513 4300
"Shemrock Sr Sec School, Mohali",Mohali@shemrockschool.com, 9.19E+11
"Hillside School, Hyderabad",admissions@hillsideschoolhyderabad.edu.in, 4023546113
"Symbiosis School, Nashik",symbiosisschoolnasik@yahoo.co.in, 2532379496
"Sadhu Vaswani International School, , Hyderabad",, 9963307776
"Phoenix Greens School, Kokapet, Hyderabad",info@phoenixgreens.com, 4064637102
"OPG World School, New Delhi",info@opgworldschool.com, 1145909090
"Army Public School, Darjeeling",armyschoolsukna@gmail.com, 9.14E+11
"Calorx Public School, Ahmedabad",cpsghatlodia@kalorex.org, 7927600932
"Amrita Vidyalayam, Puducherry",avpondi2015@gmail.com, 4132292976
"CS Academy, Coimbatore",, 8754012484
"Sandipani School, Nagpur",sandipani_hp05@rediffmail.com, 6469438
"Amalorpavam Higher Secondary School, Puducherry",reachus@amalorpavamschool.org, 914132356747
"Global Indian International School, Pune",reception.chinchwad@globalindianschool.org, +91 20 67333500
"GD Goenka Public School, Indore",info@gdgoenkaindore.com, 9.18E+11
"Army Public School, Golconda, Hyderabad",armyschoolgolconda@gmail.com, 4020023340
"Mount Abu Public School, Delhi",info@mountabuschool.com, 1127041516
"St. Kabir School, Drive-in Road, Ahmedabad",info@stkabir.com, 7926858695
"Army Public School, Shillong",, 3642224300
"Army Public School, Barrackpore",armysch.bkp@gmail.com, 9874919911
"DPS, Raj Nagar, Ghaziabad",office@dps.ind.in, 1202800800
"The PSBB Millennium School, Coimbatore",Info.cbe@psbbmillenniumschool.org, 4222908237
"Anand Niketan School, Maninagar, Ahmedabad",anmaninagar@anandniketan.org, 9.20E+11
"Army Public School, Amritsar Cantt",, 9463505599
"Army Public School, Secunderabad, Hyderabad",apsrkpuram@gmail.com, 9104027794729
"GD Goenka International School, Surat",contact@gdgoenkasurat.com, 912612916900
"Army Public School, Hisar",apshisar@hotmail.com, 918929232380
"Army Public School, Ambala Cantt",, 1712633159
"The Aryan International School, Akhari, Varanasi",bina_chopra@hotmail.com, 5423293892
"Presidium School, Ashok Vihar, Delhi",ashokvihar@presidiumonline.com, 1141781100
"Amrita Vidyalayam, Amman Nagar, Chennai",avchennai78@gmail.com, 4424715695
"Army Public School, Shankar Vihar, Delhi Cantt",, 1126153558
Silver Oaks – The School of Hyderabad,,
"Prerana Waldorf School, Hyderabad",waldorfprerana@gmail.com, 9.20E+11
"Choithram School, North Campus, Indore",csnipania@gmail.com, 7312802507
"Birla School, Kalyan, Mumbai",birlakalyan_school@rediffmail.com, 2512230623
"The Somaiya School, Mumbai",info.tss@somaiya.edu, 2266177200
"Veda Vyasa DAV Public School, Delhi",info@vvdav.com, 28535594
St. Patrick Matriculation Higher Secondary School,st_patricks91@hotmail.com, 4132203418
"OP Jindal Modern School, Hisar",info@opjms.edu.in, 919896800580
"Sacred Heart Sr Sec School, BRS Nagar, Ludhiana",, 1612457253
"BCM Arya Model School, Shastri Nagar, Ludhiana",info@bcmeducation.org, 9.12E+11
"Billabong High International School, Malad, Mumbai",principal.malad@billabonghigh.com, 9129673217
"Jayshree Periwal High School, Ajmer Road",admission@jpischool.com, 1414132222
"Manav Rachna International School, Sector 14,",counsellor.mris14@mris.edu.in, 9560064222
"Army Public School, K. Kamaraj Road, Bangalore",apsblre@rediffmail.com, 8025581238
"Amrita Vidyalayam, Coimbatore",, 4222538326
"Amity International School, Pushp Vihar, Delhi",principal@aispv.amity.edu, 29561561
"The Kalyani School, Pune",, 917720028631
"Yuvabharathi Public School, Coimbatore",info@yuvabharathi.in, 914226451127
"Jawahar Navodaya Vidyalaya, Gachibowli",jnvgachibowli@gmail.com, 4069997741
"Jawahar Navodaya Vidyalaya, Hamirpur",jnvhmr@gmail.com, 1972266035
"Mitthi Gobind Ram Public School, Bairagarh, Bhopal",mgpsshn@gmail.com, 7552640176
"Campion School, Bhopal",principal.campionbpl@yahoo.co.in, 7552464426
"JNV, Pandoh, Himachal Pradesh",jnvmandipandoh@gmail.com, 1905282046
"Kendriya Vidyalaya, Kanjikode, Palakkad",kv2palakkad@kvs.edu.org, 4912566317
"Baldwin Academy, Patna",ba.baldwinpatna@gmail.com, 6122920060
"Shri Ram Centennial School, Patna",info@srcspatna.com, 8873002602
"Pragya Girls School, Indore",info@pragyagirlsschool.com, 2847332
"Queen College, Indore",queenscollegeindore@rediffmail.com, 2877755
"Christ Church School for Girls, Jabalpur",ccgirls@airtelmail.in, 7612623289
"DAV Girls Senior Secondary School, Lloyds Road",, 8251369
"Shri Shikshayatan School, Kolkata",info@shrishikshayatanschool.com, 3322821450
"Kendriya Vidyalaya, No. 1 Vasco-Da-Gama",kvno1vasco@gmail.com, 8322512776
"Vidya Global School, Meerut",vgs@vidya.edu.in, 9.19E+11
"Scholars Public School, Morena",principal@spsmorena.com, 232889
"SYNA International School, Katni",admissions@synainternational.com, 917622262270
"Accord School, Tirupati",info@theaccordschool.com, 8776457775
"Gen BC Joshi Army Public School, Pithoragarh",, 5964224607
"Sri Vidyaniketan Public School, Koppal",info@srividyaniketanpublicschoolgvt.com, 8533276688
"Brighton International School, Raipur",info@brightoninternational.in, 7716067670
"Usha Martin World School, Patna",info@patna.umschools.edu.in, 9308655154
"VRS & VJ Residential School, Hyderabad",kodalivijayarani@hotmail.com, 4023041511
"Pinegrove School, Dharampur",dharampur@pinegroveschool.com, 911792264105
"MCM Kothari International Girls Residential School, Valsad",school.mcm@vallabhashram.in, 912602404331
"Oakridge International School, Mohali",admissions@oakridge.in, 9133337711
"Oakridge International School, Bangalore",admissions@oakridge.in, 8501876611
"JNV, Neriamangalam, Ernakulam",jnvernakulam86@yahoo.com, 4852554246
"Sai Nath Public School, Delhi",, 911129960355
"Treamis World School, Bangalore",info@treamis.org, +91 9900082472
JLPL School,admissions@jlplschoolmohali.com, 7307645566
RS Krishnan Higher Secondary School,rskoffice@yahoo.co.uk, 4312573870
"BCM School, Dugri Road, Ludhiana",bcmbasant@yahoo.com, 1612816343
"Anee’s School, Mohali",anee_school69@yahoo.com, 1726542836
Grand Columbus International School,info@grandcolumbus.com, 1292220612
"Orchids International School, Jalahalli, Bengaluru",info.hmt@orchids.edu.in, 91 80 6001 7100
"Ryan International School, Surat",riscbseadajansurat@gmail.com, 2616557708
"DAV Sr Sec Public School, Panchkula",dav8panchkula@gmail.com, 1722567449
St Andrews Scots Senior Secondary School,standrewsdelhi@gmail.com, 1122241167
"Tagore International School, Jaipur",tismansarovar@gmail.com, 1416450556
"Army Public School, Kaluchak, Jammu",, 1912481200
"Central India Public School, Bhandara Road, Nagpur",littlepearls_cips@yahoo.com, 7126529102
"DC Model Senior Secondary School, Panchkula",dcmspkl@yahoo.com, 1722596464
"Ryan International School, Ludhiana",ryanludhiana@gmail.com, 1612678742
Kundan Vidya Mandir,kvmcivillines@yahoo.com, 1612301023
"DAV Public School, BRS Nagar, Ludhiana",davbrsnagar@gmail.com, 1612458740
"DPS, Bhadbhada Road, Bhopal",admin@dpsbhopal.org, 7553025200
"Salwan Public School, Ghaziabad",spstronica@salwanschools.com, 1202696856
Vidya Mandir Public School,vmpsfbd@gmail.com, 1294100781
Gyansagar International School,principal@gsischool.com, 7575202005
Amanora School,contact@pearsonschools.in, 2065270081
"Cambridge International School, Phagwara",cisphagwara@gmail.com, 1824228107
"Ryan International School, Jaipur",ris.jaipur1@ryangroup.org, 1412394651
Bharatiya Vidya Bhavan’s Mehta Vidyalaya,mehtavidyalaya@rediffmail.com, 1123389943
Bharti Public School,info.sv@bps.edu.in, 911122512878
"Akshara International School, Hyderabad",principal@aksharaintl.com, 4024095555
St. John’s English School & Junior College,, 4424913215
Sarla Chopra DAV Public School,davnoida.jr@gmail.com, 1204258052
"Gems International School, Gurgaon",contactus.gis@gemsedu.in," 0124- 4636900, 9582199008, 7303096206"
SLS DAV Public School,slsdavps@yahoo.com, 1122531745
SPDH Sindhi Model Sr. Sec. School,sindhimodelschool@yahoo.com, 4426442454
The DPSG International,principal.dpsgi@dpsgs.org, 1202765193
"Ryan International School, Raipur",ryaniscbseraipur@gmail.com, 7716458517
St. Dominic Convent English Medium School,office@stdominicspkd.com, 4662260327
"Ryan International School, Bannerghatta Rd.",ris.blr4@ryangroup.org, 8027828213
"Sanskar School, Jaipur",info@sanskarjaipur.com, 1412246189
Alwar Public School,eicheraps@gmail.com, 1443208501
Smt. SP Patel Day Boarding School,info@vallabhashram.in, 2602404321
Shalom Hills International School,feedback@shalomhills.com, 1244046471
Paavai Vidhyashram Global School,schooladmissions@paavai.edu.in, 4286248938
"Jain International School, Kanpur",Contact@tjiskanpur.in, 9670488888
"Army Public School, Kirkee",apskirkee11@gmail.com, 206500459
"The Heritage School, Talegaon, Pune",contact@pearsonschools.in, 919373403031
Sri Sankara Senior Secondary School,sankara.school@gmail.com, 4424912510
Sachdeva Global School,info@sachdevaglobal.in, 1128033005
"Army Public School, Pune",apspune@rediffmail.com, 202636291
"Modern School, Shalimar Bagh, Delhi",mps2k@mpsshalimarbagh.com, 1127480118
"Modern Senior Secondary School, Chennai",modernnglr@gmail.com, 4422241854
"Gyanshree School, Noida",info@gyanshree.in, +91 8527639996
NC Jindal Public School,ncjindalps@yahoo.co.in, 1125228288
"Navy Children School, Nausena baugh, Visakhapatnam",ncs_visakha@rediffmail.com, 8912812409
"Ramakrishna Mission Vidyapith, Deogarh",deoghar@rkmm.org, 6432222413
The Shriram Millennium School Faridabad,info.fbd@tsmschools.com, +91 9953929999
"National Public School, Chennai",npschennai@yahoo.com, 4428351973
Ambience Public School,info@ambiencepublicschool.com, 1147232000
Palghat Lions School,info@palghatlionsschool.com,
"Apeejay School, Jalandhar",skool.ms.jln@apj.edu, +91 812458546
"The Banyan Tree School, New Delhi",info@banyantree.in, 1140934390
"Chinmaya Vidyalaya, Anna Nagar (West), Chennai",chinmayach40@gmail.com, 4426261358
DC Model Senior Secondary School,dcmodelfaridabad@gmail.com, 1292226000
"The Hindu Senior Secondary School, Chennai",hsssindiranagar@gmail.com, 4424901836
"Velammal Vidyashram, Surapet, Chennai",info@velammalvidhyashram.edu.in, 4426590808
"Maa Anand Mayee Memorial School, Dehradun",mams@mams.co.in, 1352190403
"Chinmaya Vidyalaya, Taylor’s Road, Chennai",kilpauk@cvchennai.org, 4426460631
"LK Singhania Education Centre, Nagpur",info@lksec.org, 1591231022
"Ambe Vidyalaya, Vadodara",ambevidyalaya@ambevidyalaya.org, 2652481893
"Sunbeam Suncity, Varanasi",info@sunbeamschools.com, 9721452601
"DAV Sr. Sec. School, Mogappair, Chennai",andavgirls@gmail.com, 4426258614
St. Angela Sophia Senior Secondary School,sophiajaipur@yahoo.co.in, 1412601698
"Kendriya Vidyalaya, Trichur",principal.kvthrissur@gmail.com, 4872307701
"Kendriya Vidyalaya, Pattom, Thiruvananthapuram",kvpattom@kvsedu.org, 4712445854
"Kendriya Vidyalaya, Keltron Nagar, Kannur",principal.kvkeltronnagar@gmail.com, 4972780155
"Kendriya Vidyalaya, Tambaram, Chennai",kv1tambaram@yahoo.co.in, 4422290350
"Jawaharlal Nehru Vidyalaya, Samastipur",jnvsamastipur@gmail.com, 6274290490
"Jawahar Navodaya Vidyalaya, Rajnandgaon",jnvrajnandgaon.cg@nic.in, 7823232349
"Jawahar Navodaya Vidyalaya, Canacona",jnvsouthgoa@gmail.com, 8322633304
"Jawahar Navodaya Vidyalaya, Shimoga",jnvshimoga@yahoo.com, 8182234250
"Jawahar Navodaya Vidyalaya, Alappuzha",jnvalepy@yahoo.com, 4792322571
"Jawahar Navodaya Vidyalaya, Kannur",jnvkannur@yahoo.com, 4902310500
"Jawahar Navodaya Vidyalaya, Theog",jnvshimla@rediffmail.com, 1783238248
"Jawahar Navodaya Vidyalaya, Nagaur",jnvnagaur@gmail.com, 1586220266
Simultala Awasiya Vidyalaya,, 6345256202
Muni International School,muniinternationalschool@yahoo.co.in, 1132546173
SR Capital Public School,info@srcapital.in, 1122824885
SHEMROCK SCHOOL,info@shemrockschool.com, 1724001234
"Shantiniketan School, Kolhapur",info@shantiniketanschoolkop.in, +918055533382
"Khaitan Public School, Ghaziabad",admissions@khaitanpublicschool.com, +91 20 4850300
Brahmam Talent School,brahmamschool@gmail.com, 4023814066
Shree Hanuman Vyayam Shala Public School,hvsps04@rediffmail.com, 4024751733
Akshara Vaagdevi International School,info@aksharainternational.net, 4065303339
Sree Rajadhani Residential School,infosrrs@yahoo.co.in, 4069992077
Shivaji Vidyapeeth School,elsythomas26@yahoo.com, 4023545682
Hindu Public School,, 4023704355
Kennedy High Global School,info@kennedyhighglobalschool.com, 4064646477
Manthan International School,parentcoord.madhapur@manthanschool.org, 4042206060
"The Hyderabad Public School, Ramanthapur",info@hpsramanthapur.org, 4027038378
"Ashok Academy, Andheri, Mumbai",ashokacademy@gmail.com, 912226365670
"Arunodaya Public School, Mumbai",principalapsthane@gmail.com, 2225971503
Our Lady of Fatima Convent Secondary School,contact@ourladyfatimaschoolgurgaon.org, 1242321744
Basant Valley Senior Secondary School,basantvalley@yahoo.co.in, 9871225599
Aditya International School,info@adityainternationalschool.ac.in, 9711960123
Adarsh Vidya Niketan Senior Secondary School,avnfbd@yahoo.com, 1292260943
"All Saints High School, Mumbai",allsaints@shilpakar.com, 9028138222
Allied Wings Private Limited,, 2226407737
"Amrita Vidyalayam, Mumbai",av.navimumbai@gmail.com, 2227726150
"Tilak Public School, Mumbai",tps.nerul@gmail.com, 2227711481
"Herman Gmeiner School, Faridabad",hgsfaridabad@yahoo.co.in, 1294088574
"Lady Florence Public School, Gurgaon",ladyflorencepublicschool@yahoo.com, 1242215911
"Nalanda Public School, Mumbai",nalandapublicschool@gmail.com, 2225321883
Rajhans Vidyalaya,vidyalaya_rajhans@rediffmail.com, 26234805
"St Thomas School, Faridabad",st.thomasfbd@gmail.com, 1292247620
St. Luke Convent School,st.luke21d@yahoo.com, 1292403335
"St Columbus School, Faridabad",stcolumbus11@gmail.com, 1296051111
Emerald Convent School,support@emeraldconventschool.com, 1296521671
John F Kennedy Public School,johnfkennedypublicschool@gmail.com, 1294042628
Mahadev Desai Public School,, 122288201
DPS Mewat Model School,mmsnuh@gmail.com, 1267271230
Rattan Convent School,rattanconvent@gmail.com, 1293212390
"Laxmi International School, Gurgaon",kul_khalsa@yahoo.com, 1242337465
"Pole-Star Public School, Gurgaon",info@polestarschool.org, 1243220839
Pinewood International Boarding School,kul_khalsa@yahoo.com, 173227735
"Gold Field Public School, Faridabad",adlakha123@rediffmail.com, 1292241666
Sharda International School,info@shardainternationalschool.in, 1242321732
Apeejay Svran Global School,skool.sg.fbd@apeejay.edu, 1292460500
Ashok Memorial Public School,amp_school@rediffmail.com, 1292277107
Aravali International School,eduworld@aravali.co.in, 1296518146
"Silver Bells Public School, Bhavnagar",enquiries@silverbellspublicschool.org, +91 278 256 6711
"Sherwood Convent School, Gurgaon",sherwood_school@yahoo.com, 91 124 4016730/31
The Sylvan Trails School,thesylvantrails@yahoo.com, 9818221350
"Royal Public School, Gurgaon",royal_public@yahoo.co.in, 1242276166
"Chhaya Public School, Govindpuri",chhaya.school@gmail.com, 1232244179
"The Pine Crest School, Gurgaon",, 1246562140
"Bethesda Christian Academy, Ghaziabad",bcahapur@yahoo.co.in, 1222302790
Eklavya Public School,eps.principal42@gmail.com, 8439777204
"Allenhouse Public School, Ghaziabad",contact@allenhouseghaziabad.com, 9717652378
Aum Sun Public School,director@aumsunschool.com, 9761116829
"Maharishi Vidya Mandir, Sector 36, Noida",mvmnoida@yahoo.co.in, 1202500117
RK Modern Senior Secondary School,rkmschoolnoida@yahoo.co.in, 1202582793
Chaudhary Charan Singh Memorial Public School,, 5754627781
"DAV Centenary Public School, Garhmukteshwar",, 9456662400
Deep Memorial Public School,dmpsgzb@rediffmail.com, 1202641065
"Dehradun Public School, Sanjay Nagar",contact@ddps.in, 1202787150
Lord Mahavira School,info@lordmahaviraschool.in, 1202453097
Mohan International School,mohaninternational56@gmail.com, 1202401052
MAF Academy,info@mafacademynoida.com, 1202400522
"Radiant Academy, Noida",radiantacademynoida@yahoo.com, 1204314312
Sunriseville School,sunriseville@sunriseville.com, 1202538361
Noida Public School,npsadmin@noidapublicschool.com, 1202411300
"The Millennium School, Noida",info@millenniumnoida.com, 1204217341
"Marigold Public School, Noida",marigoldpublicschool@gmail.com, 1202538082
"Vanasthali Public School, Noida",info@vpsnoida.com, 1204283479
Rockwood Senior Secondary School,rockwoodnoida@yahoo.co.in, 1202505727
"Army Public School, Noida",apsnoidasec37@gmail.com, 1202430430
"Vishwa Bharti Public School, Noida",vbpsnoida@rediffmail.com, 1202455142
"Modern School, Noida",, 1202771345
"Mary Angel’s Public School, Noida",, 120514298
Nehru International Public School,nipsschool@yahoo.co.in, 1202542998
Fortune World School,info@fortuneworldschool.com, 1202568995
"City Public School, Noida",citypublicschool_2006@yahoo.com, 1202586310
Blue Diamond Public School,luediamondschool@gmail.com, 1202673867
"JP International School, Noida",info@jpinternational.co.in, 1204227826
"Red Rose School, Lambakheda, Bhopal",princilkd@redroseschools.com, 7552854662
"Aster Public School, Sector 9, Noida",info@asterinstitutions.com, 9582801550
"Sagar Public School, Gandhi Nagar, Bhopal",spsgn@spsbhopal.ac.in, 7556543942
Narmada Calorx Public School,cpsbharuch@calorx.org, 8511672500
"The Millennium School, Lucknow",info.lucknow@themillenniumschools.com, 5226451476
"All Saints School, Bhopal",ascbse@gmail.com, 7552528644
"World Way International School, Bhopal",worldwayinternational.03@gmail.com, 7553291589
"Centre Point School, Seminary Hills, Nagpur",, 7122584394
"Ryan International School, Nasik",, 2532416131
"Banyan International School, Jammu",pr@banyaninternationalschool.com, 1912106855
"Maharshi Vidya Mandir, Bhopal",, 7554047600
"Pinewood School, Saharanpur",pinewoodschool@rediffmail.com, 9045400400
"DAV Public School, Faridabad",info@davblb.ac.in, 1292241755
