school name,email,contact no
"Vibgyor High, Borivali West",helpdesk.vh10112@vibgyorhigh.com, 2265650593
"Konark Public School, Ghaziabad",contact@kpssahibabad.com, 1202892579
"Modern Academy, Ghaziabad",admin@modernacademyindirapuram.org, 1202606998
"St. Joseph’s Convent School, Raigad",sjclodhivali@gmail.com, 2192255654
Manipal School,mangalore@manipalk12education.com, 8244252307
"Florence Public School, Bengaluru",principalfps@yahoo.co.in, 8023333938
Jankidevi Public School,info@jankidevipublicschool-m.com, 2226334756
The New Cambridge English School,info@cambridgeschool.com, 8023301578
Carmel High School,info@carmeledu.com, 8023227015
"St Vincent Pallotti School, Bengaluru",svp.school43@yahoo.com, 8025603768
"St Theresa’s School, Mangalore",stsbm@yahoo.co.in, 8242214278
"The Scholar School, Mumbai",thescholarhighschool@yahoo.co.in, 2222047987
"Greenlawns School, Warden Road",, 2223671408
"Frank Anthony Public School, New Delhi",, 1126435996
"City International School, Andheri",contact@cityinternationalschool.edu.in, 2226390692
"Billabong High International School, Bhopal",principal@bhopal.billabonghigh.org, 7552696799
"City Montessori School, Aliganj Campus I",aliganj1@cmseducation.org, 5222326882
"Ann Mary School, Dehradun",annmary@sancharnet.in, 1352762923
"Activity High School, Mumbai",info@activityhighschool.com, 2223517909
Hutchings High School,, 2026352764
"St Thomas School, Ranchi",principal@stthomasschoolranchi.com, 6512408649
VMJ Higher Secondary School,office@vmjschool.org, 4522311748
Vidya Valley School,info@vidyavalley.com, 2065339984
"Littler Flower Convent School, Panchkula",, 1722574527
"Pawar Public School, Pune",info@ppspune.com, 9272212290
"Beacon High, Mumbai",beaconhigh580@gmail.com, 2226007716
"St. Patrick’s Academy, Ernakulam",spabeacon@gmail.com, 4842690878
"Goldcrest High, Vashi, Navi Mumbai",response.vashi@goldcresthigh.com, 2227892261
"Holy Angels School, Ghaziabad",principal@holyangelssbd.org, 1202631845
"Seth Anandram Jaipuria School, Kanpur",sajsknp@rediffmail.com; kanpurjaipuria@gmail.com, 0512-2380146 / 0512-2381619
"St. Agnes Loreto Day School, Lucknow",contact@stagnesloretolko.com, 5223292272
"Billabong High International School, Vadodara",info.baroda@billabonghigh.com, 2652630800
The Lucknow Public Collegiate,lpc_jprd@hotmail.com, 5222207745
Sri Sri Academy,info@ssa.org.in, 3324569090
Pine Mount School,principalpinemountschool@gmail.com, 3642223039
"Our Lady Queen of Missions School, Kolkata",, 3322908196
"St. Patrick’s Junior College, Agra",contact@stpatricksjrcollege.org, 5622520107
"Mar Thoma Residential School, Tiruvalla",, 4692701298
"Baldwin Girls’ School, Bengaluru",contact@baldwingirls.org, 22211743
"Dr. Graham’s Homes, Kalimpong",chiefexecdgh@sify.com, 3552274632
Barnes School & Junior College,administrator@barnesschool.in, 2532497194
"Seventh Day Adventist School, Navsari",sdanavsari@gmail.com, 2637283445
SN Kansagra School,uma.anavaratham@tges.org, 2812588391
Metas MCD School of Seventh Day Adventists,jeremiahms@rediffmail.com, 2612667591
"Timpany School, Vishakapatnam",timpanyschools@gmail.com, 8912755887
St. John’s Parish School,stjohnsparishschool@hotmail.com, 82762561334
St. Aloysius High School,staloysius045@gmail.com, 8912562837
Jnanasarovara International Residential School,info@jirsm.com, 8212479814
"Siva Sivani Public School, Secunderabad",contact@sivasivanipublicschools.org, 8418248343
"Sherwood Public School, Secunderabad",, 4064512584
"Carmel Public School, Raipur",, 7721237459
"MSB Educational Institute, Raipur",fatemaraipur@gmail.com, 7712233986
"Prakash Vidyalaya, Dantewada",principalpvbacheli@rediffmail.com, 7857255166
"Nirmal Niketan School, Dantewada",nnskarli@gmail.com, 7856202353
Guru Nanak Fifth Centenary School,info@gnfcssociety.com, 1352632690
"Sacred Heart High School, Raipur",sacredheartsbb@yahoo.co.in, 7727222190
"St. Ann’s High School, Secunderabad",annssc@yahoo.co.in, 4027801854
"Don Bosco Academy, Digha Ghat",, 6122560212
Sri Sathya Sai Gurukulam,srisathyasaigurukulam@yahoo.com, 8832430989
"Don Bosco School, Khonsa",dbskhonsa@gmail.com, 3786223160
"Chavara Higher Secondary School, Kondagoan",school.chavara@gmail.com, 7786242461
Rajkumar College,info@rajkumarcollege.com, 7714701051
"Carmel School, Bhagalpur",, 6412400323
Salem English School,salemenglishschool@sesraipur.com, 7712234249
"St. Xavier’s High School, Raipur",sxhsicseraipur@gmail.com, 7712442582
"Beacon English School, Chhattisgarh",, 7759221939
"Deepti Convent School, Bastar",, 7782229475
"Carmel Convent Senior Secondary, Raigarh",carmelraigarh@gmail.com, 7762232210
Mount Assisi School,enquiry@mountassisi.co.in, 64124511043
Vijayavani Residential School,vijayavaniresidentialschool@yahoo.in, 8581256237
"Loyola Public School, Guntur",, 8632290268
"North Point Children’s School, Muzaffarpur",, 6212270275
"St. Joseph’s Convent High School, Bankipore",cjpatna@rediffmail.com, 6122560267
Paramjyoti Public School,ppschool1985@gmail.com, 8856230155
"St. Martin’s High School, Ferozguda",contact@stmartinshighschool.com, 4023774208
"Don Bosco School, Nalbari",donboscoschoolsashipur@yahoo.com, 3624284390
Sanskriti The Gurukul,sanskritithegurukul@hotmail.com, 91 361 227 0060
"Carmel School, Jorhat",carmel_jorhat@sancharnet.in, 3762360355
"Vasishta School, Madanapalle",vasishtaicse@gmail.com, 8571230227
"St. Francis High School, Machilipatnam",, 8672250742
Simhapuri Public School,simhapuripublicschoolicse@gmail.com, 9391088905
"St. Ann’s Convent School, Srikakulam",, 8946255345
"SDA Higher Secondary School, Nuzvid",sdaschool_nuzvid@yahoo.com, 8656232302
Flaiz Memorial Higher Secondary School of SDA,flaizcollege@yahoo.com, 8814273905
Ongole Public School,contact@ongolepublicschool.com, 8592233284
Gitanjali Primary School,admin@gitanjalischools.com, 4027768420
"Varin International School, Tumkur",pr@virstumkur.in, 8162246400
"Sat Paul Mittal School, Ludhiana",spmschool2004@satpaulmittalschool.org, +91 1612522477
"Vibgyor High, Magarpatta City",helpdesk.vh10207@vibgyorhigh.com, 8655563951
"Sheiling House School, Kanpur",info@shskanpur.org, 5122255041
"St. Paul’s English School, Bangalore",spes.jpn83@yahoo.com, 8026582710
"St. Joseph Public School, Pattanakad",ppublicschool@gmail.com, 4782594439
Chavara International School,chavaraamanakara@gmail.com, 4822260426
"NASR Boys, Hyderabad",nasrschoolboys@rediffmail.com, 4055691518
"Innisfree House School, Bangalore",innisfree@hotmail.com, 8026597110
"Adamas International School, Kolkata",adamas@riceindia.org, 9830444749
"Dr. Virendra Swarup Education Centre, Kidwai Nagar",contact@vsec.in, 5122641352
"The Chintels School, Kanpur",chintels@rediffmail.com, 5122280714
"Ida Scudder School, Vellore",idascudder@gmail.com, 4162242404
Christ Nagar Higher Secondary School,cnhsstvm@gmail.com, 4712318485
"Hari Sri Vidya Nidhi School, Thrissur",harisrividyanidhischool@yahoo.com, 4872380258
"Sahyadri School, Pune",sahyadrischool@gmail.com, 2135306100
"New Horizon Public School, Bangalore",admissions@newhorizonindia.edu, 8025261735
"St Thomas School, Kanpur",info@stthomasknp.com, 5122602348
"City Montessori School, Rajendra Nagar, Lucknow",rajendranagar1@cmseducation.org, 5222692830
"St. Mary’s Convent Inter College, Lucknow",contact@smccjlko.org, 5222450530
"Julien Day School, Kalyani",kalyani@juliendayschool.com, 3325829621
"The Future Foundation School, Kolkata",, +91 3324712612
"Presidency School, RT Nagar, Bangalore",presidencyrtnagar@yahoo.co.in, 8023337689
"Modern English Academy, Barrackpore",principal@meacademy.org.in, 3325452102
"Little Flower School, Gorakhpur",info@lfsgorakhpur.in, 5512504941
"Kuriakose Elias School, Kottayam",kescom@rediffmail.com, 4812597180
"Bombay Scottish School, Powai",powai@bombayscottish.in, 2228573205
St. Francis D’Assisi High School & Junior College,office@sfdassisi.com, +91 2228930670
"St. Francis Xavier Girls High School, Bangalore",, 8025368222
"Little flower School, Jamshedpur",littleflower_10@sify.com, 6572280652
"Queen Mary School, Mumbai",queenmaryschool@gmail.com, 2223875700
"MC Kejriwal Vidyapeeth, Howrah",info@mckv.edu.in, 3326543326
"Amber Valley Residential School, Chikmagalur",principal@ambervalleyschool.org, 8262224633
"Summer Valley School, Dehradun",summervalleyschool@gmail.com, 1352673383
Jasudben ML School,jml@bom5.vsnl.net.in, 2226496162
"Abhyasa International Residential School, Toopran",abhyasaschool@yahoo.com, 8454235718
"Don Bosco School, Siliguri",frjosesdb@hotmail.com, 3532542947
Vivekananda Mission School,vivtech@giascl01.vsnl.net.in, 3324671010
"Lodha World School, Thane",contact_thane@lodhaworldschool.com, 2225440066
"Ashok Hall Girls Residential School, Ranikhet",p.arghs@ashokhall.net, 5966240438
Lakshmi School,lakshmischool@tvslvs.com, +91 4522429142
Amar Jyoti Saraswati International School,enquiries@theasis.org, 2782566711
"Don Bosco High & Technical School, Liluah, Howrah",assistantprincipal@donboscoliluah.org, 3326553553
"St. Joseph’s Convent, Patna",sjc@sify.com, 6122560267
"St. Peter’s School, Mumbai",stpeters@vsnl.com, 2223782888
Manovikas English Medium School,school@manovikas.in, 8322759940
The Shriram Millennium School,info.noida@tsms.edu.in, +91 9999176666
"International Sahaja Public School, Dharamsala",ispsoffice@gmail.com, 1892221766
"Shishuvan School, Matunga",info@shishuvan.com, +91 2224044063
"Sarvodaya Vidyalaya, Thiruvananthapuram",sarvodayavidyalaya1973@gmail.com, 4712530831
"Bethany High School, Bangalore",school@bethanyhigh.net, 8025532189
"St. Paul’s School, Agartala",, 3812230232
St. George’s Girls Grammar School,, 4023232213
"Ryan International School, Kharghar",ris_kharghar@yahoo.com, 2265161799
"Sacred Heart Girls High School, Bangalore",shghs_blr@yahoo.in, 8022211237
"Sophia High School, Bangalore",enquiries@sophiahighschool.com, 8022266825
"St. Germain High School, Bangalore",, 8025511353
Johnson Grammar School,jgschoolicse@yahoo.com, +91 4027150555
The Frank Anthony Public School,fapscompclub@gmail.com, 8025570970
"The Assembly of God Church School, Kolkata",mail@agschool.in, 3322292723
"Auxilium Convent, Bandel",, 3326312460
"Billabong High International School, Thane",info@billabongthane.com, 2243407100
St. Gregorios High School,stghchembur@gmail.com, 2225203790
"Arya Vidya Mandir, Bandra West",avm@avmschools.ac.in, 2266923600
Calcutta Girls High School,principal@cghschool.org, 3322151540
"Convent of Jesus and Mary, Dehradun",contact@cjmdehradun.in, 1352651390
Brightlands School,brightlandsschool@gmail.com, 911352656157
HVB Academy,info@hvbacademy.com, 2261436000
"Arya Vidya Mandir, Juhu, Mumbai",, 2266993700
"Baldwin Boys’ High School, Bangalore",principal@baldwinboyshighschool.com, 802211981
"Loreto Convent School, Darjeeling",loretodarjeeling@gmail.com, 3542255739
N. L. Dalmia High School,info.school@nldalmia.co.in, 242990000
"Salt Lake School, Kolkata",saltlakeschool@yahoo.com, 3323371477
"Don Bosco School, Park Circus, Kolkata",dbkolkata@gmail.com, 91 33 2287 0414
"St. Kabir Public School, Chandigarh",contact@stkabir.co.in, 1722791459
"Shree Swaminarayan Gurukul, Bangalore",bangalore@gurukulworld.org, 8028437261
"Loreto Convent High School, Lucknow",lucknowloretocollege@yahoo.com, 5222237222
Atul Vidyalaya,atul_vidya@yahoo.com, 2632233317
"St. Stephens School, Chandigarh",stephenschd@sify.com, 1722664547
"La Martiniere College, Lucknow",college@lamartinierelucknow.org, 5222235415
M P Birla Foundation Higher Secondary School,mpbfhsc@vsnl.net, 9103324070000
Mater Dei Institution,materdeiedtnl@yahoo.co.in, 00918322278381
Nalanda International School,info@nalandaschool.org, 912656533855
CNM School,cnmschool@gmail.com, 2242333000
Pawar Public School,feedback@ppsbhandup.com, 2221663030
"Don Bosco School, Bandel",dbb@cal3.vsnl.net.in, 3326312437
"Akshar School, Kolkata",aksharschool@vsnl.net, 3324492810
St. Helena’s School,info@sthelenas.in, 2026124384
"Shishu Griha, Bangalore",yeschool@shishugriha.in, 8025213940
Holy Child School,, 1202796839
"Hiranandani Foundation School, Powai",hifopowai@hiranandanischools.edu.in, +91 2225704884
"St. Joseph’s Boys High School, Bangalore",info@sjbhsbangalore.in, 8022214416
Maneckji Cooper Education Trust School,maneckjicooper_et@rediffmail.com, 2226604312
"Loreto Convent School, Shillong",loretomeg@yahoo.com, 3642225559
Vidyaranya High School,vidyaranya.hs@gmail.com, +91 4023235146
"Pallikoodam School, Kottayam",pallikoodam@yahoo.com, 4812578123
Dr. S. Radhakrishnan Vidyalaya,dsrv_m@bcgschools.org, 2228747058
Seth M. R. Jaipuria School,principal@jaipuria.com, 5222301301
J.B. Petit High School for Girls,contact.jbpetit@gmail.com, 2222042617
"The Heritage School, Kolkata",admin@theheritageschool.org, +91 9830022250
Sacred Heart Convent School,jsrshs@yahoo.co.in, 2431478
Pailan World School,frontoffice@pailanworldschool.com, 3324978556
Sreenidhi International School,info@sis.edu.in, 9912244409
Sharada Mandir,adm@sharadamandirschool.org, 8322463401
"St. Mary’s School, Pune",, 2026356282
"Loyola School, Jamshedpur",info@loyola.edu.in, 6572231795
"Hiranandani Foundation School, Thane",hiranandanischoolthane@gmail.com, 2225867300
"La Martiniere for Girls, Kolkata",lmgkolkata@gmail.com, 3322815060
La Martiniere Girls’ College,lmgclko@gmail.com, 5223265624
"The Shri Ram School, Aravali",senior.aravali@tsrs.org, 1244784300
"La Martiniere for Boys, Kolkata",lamartiniereboys@gmail.com, 3333544012
Gundecha Education Academy,info@gundechaedu.org, 2266776768
Villa Theresa High School,info@vtsmumbai.org, 912223879817
Strawberry Fields World School,sfws26@gmail.com, 1722795903
Ryan International School Goregaon,risgoregaon@gmail.com, 2228411862
"VIBGYOR High School, Balewadi",helpdesk.pune21@vibgyorhigh.com, 2065000361
"VIBGYOR High, Malad East",helpdesk.mumbai11@vibgyorhigh.com, 2239236060
"Ebenezer International School, Bangalore",ajaykumar@eisbangalore.com, 8027848222
"Tashi Namgyal Academy, Gangtok",tna_academy@rediffmail.com, 3592202527
"VIBGYOR High, Kadugodi",helpdesk.bengaluru47@vibgyorhigh.com, 8033743300
City Montessori School,gomtinagar1@cmseducation.org, 5222394740
Lilavatibai Podar Senior Secondary School,lphsicse@gmail.com, 2267111111
"The Blue Mountains School, Ooty",contact@bluemountainsschool.org, 423244837
"Wynberg Allen School, Mussoorie",principal@wynbergallen.com, 1352630568
"VIBGYOR High, Horamavu",helpdesk.bengaluru43@vibgyorhigh.com, 8033206100
"VIBGYOR High, Haralur Road",helpdesk.bengaluru41@vibgyorhigh.com, 8040968427
Eklavya School,eklavya@eklavya.org, +91 7926461629
Loreto House,info@loretoschool.com, 3322293564
Glendale Academy,info@glendaleacademy.net, +91 4064611937
Abacus Montessori School,abacusmontessorischool@gmail.com, +91 44 24960904
"Bishop Cottons Boys School, Bangalore",contact.us@cottonboys.com, 8022213608
"The Sanskaar Valley School, Bhopal",principal@sanskaarvalley.org, 7553255346
"Bishop Cottons Girls School, Bangalore",bcgs@bishopcottongirls.com, 8022210268
"Goethals Memorial School, Kurseong",goethalsmemorial@gmail.com, 9232704568
"Coorg Public School, Kodagu",cops@bsnl.in, 8274247011
"St. Thomas Residential School, Thiruvananthapuram",strs@stthomastvm.edu.in, 7312719000
"Shigally Hill International Academy, Dehradun",shigally@gmail.com, 1352108048
"RiverDale International Residential School, Pune",admission@rispune.com, 2032940442
"Shikshantar School, Gurugram",office@shikshantarschool.com, +91 1244889100
"St. James School, Entally, Kolkata",jacobean@cal3.vsnl.net.in, 913322441545
"GD Somani Memorial School, Mumbai",info@gdsomani.org, 912222187102
"Vidyashilp Academy, Jakkur, Bangalore",school.info@vidyashilp.com, +91 9739801824
"St. Joseph’s School, North Point, Darjeeling",santymp@yahoo.com, 3542259153
"St. George’s College, Mussoorie",manorhouse@sgconline.in, 13526325691
Mussoorie International School,misadmissions@gmail.com, 1352632763
"Modern School, Barakhamba Road",principal@modernschool.net, 1123311618
"The School-KFI, Adyar",theschool.kfi.chennai@gmail.com, +91 4424915845
"Gitanjali School, Hyderabad",gitanjalischool@yahoo.com, +91 4027768420
"Sishya School, Adayar, Chennai",sishya@sishya.com, +91 4424912652
"Mayo College Girls School, Ajmer",info@ischool.co.in, 1452661286
"The Doon School, Dehradun",developmentoffice@doonschool.com, 1352526400
"Sherwood College, Nainital",admin@sherwood.edu.in, 5942239710
"Rishi Valley School, Chittoor",office@rishivalley.org, 8571280044
"The Shri Ram School, Vasant Vihar, Delhi",junior.school@tsrs.org, +91 1126140884
"The Valley School, Bangalore",office@thevalleyschool.info, +91 8028435240
Cathedral and John Connon School,cajcs@mtnl.net.in, +91 2222001282
"Smt Sulochanadevi Singhania School, Thane, Maharashtra",info@singhaniaschool.org, +91 2240368410
"Campion School, Cooperage Road, Fort, Mumbai",principal@campionmumbai.org, 2222020575
"Bombay Scottish School, Mahim, Mumbai",bomscottish155@hotmail.com, 2224453460
"Bishop Cotton School, Shimla",headmaster@bishopcotton.com, 1772620880
"The Assam Valley School, Balipara, Assam",head@assamvalleyschool.com, 9678074320
